beta_deg,camera_z_m,category,clearance_m,cycles,elapsed_sec,final_camera_z_m,final_yaw_deg,forward_m,min_fov_deg,radius_m,reason,success,terminal,turn_deg,x_m,y_m
-45.0,-0.2689087296526012,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.5656854249492381,0.5656854249492381
-42.5,-0.2855025352455683,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.5404721660925282,0.5898218694480993
-40.0,-0.30132444371543793,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.5142300877492314,0.6128355544951825
-37.5,-0.3163443371601794,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.4870091432069765,0.6346826722329881
-35.0,-0.3305336243589455,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.45886114908083686,0.6553216354311935
-32.5,-0.3438652951970872,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.42983968667745903,0.6747131566503086
-30.0,-0.35631397208144133,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.39999999999999997,0.692820323027551
-27.5,-0.367855958248022,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.36939889058802716,0.7096086665425774
-25.0,-0.3784692828701575,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.3380946093925596,0.72504622962932
-22.5,-0.3881337428812077,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.30614674589207186,0.7391036260090295
-20.0,-0.39683094143224973,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.273616114660535,0.7517540966287268
-17.5,-0.40454432291152487,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.2405646396034185,0.7629735605985816
-15.0,-0.41125920445898767,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.2070552360820166,0.7727406610312547
-12.5,-0.4169628039159634,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.17315169115048232,0.7810368056959467
-10.0,-0.4216442641567144,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.13891854213354426,0.7878462024097664
-7.5,-0.4252946737555957,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.10442095377604127,0.7931558890990483
-5.0,-0.42790708395046007,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.06972459419812653,0.7969557584733965
-2.5,-0.42947652187002183,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,-0.0348955098922688,0.7992385772654863
0.0,-0.43000000000000005,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.0,0.8
2.5,-0.42947652187002183,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.0348955098922688,0.7992385772654863
5.0,-0.42790708395046007,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.06972459419812653,0.7969557584733965
7.5,-0.4252946737555957,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.10442095377604127,0.7931558890990483
10.0,-0.4216442641567144,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.13891854213354426,0.7878462024097664
12.5,-0.4169628039159634,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.17315169115048232,0.7810368056959467
15.0,-0.41125920445898767,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.2070552360820166,0.7727406610312547
17.5,-0.40454432291152487,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.2405646396034185,0.7629735605985816
20.0,-0.39683094143224973,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.273616114660535,0.7517540966287268
22.5,-0.3881337428812077,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.30614674589207186,0.7391036260090295
25.0,-0.3784692828701575,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.3380946093925596,0.72504622962932
27.5,-0.367855958248022,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.36939889058802716,0.7096086665425774
30.0,-0.35631397208144133,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.39999999999999997,0.692820323027551
32.5,-0.3438652951970872,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.42983968667745903,0.6747131566503086
35.0,-0.3305336243589455,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.45886114908083686,0.6553216354311935
37.5,-0.3163443371601794,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.4870091432069765,0.6346826722329881
40.0,-0.30132444371543793,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.5142300877492314,0.6128355544951825
42.5,-0.2855025352455683,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.5404721660925282,0.5898218694480993
45.0,-0.2689087296526012,0,,,,,,,,0.8,rotation-only geometry impossible under current insertion gates,False,,,0.5656854249492381,0.5656854249492381
-45.0,-0.16890872965260117,0,,,,,,,,0.9,rotation-only geometry impossible under current insertion gates,False,,,-0.6363961030678928,0.6363961030678928
