trial,kind,target,actual,error,unit
1,forward,1.800,1.843343,0.043343,m
2,forward,1.800,1.769829,-0.030171,m
3,forward,1.800,1.804452,0.004452,m
4,forward,1.800,1.807555,0.007555,m
5,forward,1.800,1.827129,0.027129,m
6,forward,1.800,1.827671,0.027671,m
7,forward,1.800,1.815474,0.015474,m
8,forward,1.800,1.786687,-0.013313,m
9,forward,1.800,1.818939,0.018939,m
10,forward,1.800,1.814859,0.014859,m
11,forward,1.800,1.803551,0.003551,m
12,forward,1.800,1.798319,-0.001681,m
13,forward,1.800,1.808490,0.008490,m
14,forward,1.800,1.813323,0.013323,m
15,forward,1.800,1.826081,0.026081,m
16,forward,1.800,1.804548,0.004548,m
17,forward,1.800,1.806489,0.006489,m
18,forward,1.800,1.802699,0.002699,m
19,forward,1.800,1.833101,0.033101,m
20,forward,1.800,1.814498,0.014498,m
21,forward,1.800,1.804537,0.004537,m
22,forward,1.800,1.812610,0.012610,m
23,forward,1.800,1.822898,0.022898,m
24,forward,1.800,1.821916,0.021916,m
25,forward,1.800,1.812128,0.012128,m
26,forward,1.800,1.795877,-0.004123,m
27,forward,1.800,1.828804,0.028804,m
28,forward,1.800,1.807429,0.007429,m
29,forward,1.800,1.797323,-0.002677,m
30,forward,1.800,1.815876,0.015876,m
1,forward,2.000,2.005512,0.005512,m
2,forward,2.000,1.983279,-0.016721,m
3,forward,2.000,2.000055,0.000055,m
4,forward,2.000,2.092570,0.092570,m
5,forward,2.000,1.994146,-0.005854,m
6,forward,2.000,2.003034,0.003034,m
7,forward,2.000,1.989994,-0.010006,m
8,forward,2.000,2.008263,0.008263,m
9,forward,2.000,2.003227,0.003227,m
10,forward,2.000,2.009809,0.009809,m
11,forward,2.000,2.012928,0.012928,m
12,forward,2.000,2.008045,0.008045,m
13,forward,2.000,2.009911,0.009911,m
14,forward,2.000,1.995947,-0.004053,m
15,forward,2.000,2.012619,0.012619,m
16,forward,2.000,1.997390,-0.002610,m
17,forward,2.000,2.007004,0.007004,m
18,forward,2.000,1.921546,-0.078454,m
19,forward,2.000,1.990974,-0.009026,m
20,forward,2.000,2.007793,0.007793,m
21,forward,2.000,2.022880,0.022880,m
22,forward,2.000,2.003351,0.003351,m
23,forward,2.000,2.011264,0.011264,m
24,forward,2.000,2.009642,0.009642,m
25,forward,2.000,2.035109,0.035109,m
26,forward,2.000,2.019873,0.019873,m
27,forward,2.000,2.033860,0.033860,m
28,forward,2.000,1.994847,-0.005153,m
29,forward,2.000,1.991263,-0.008737,m
30,forward,2.000,2.011286,0.011286,m
1,forward,2.200,2.160397,-0.039603,m
2,forward,2.200,2.161518,-0.038482,m
3,forward,2.200,2.161721,-0.038279,m
4,forward,2.200,2.167111,-0.032889,m
5,forward,2.200,2.171959,-0.028041,m
6,forward,2.200,2.166236,-0.033764,m
7,forward,2.200,2.167380,-0.032620,m
8,forward,2.200,2.155245,-0.044755,m
9,forward,2.200,2.167679,-0.032321,m
10,forward,2.200,2.164927,-0.035073,m
11,forward,2.200,2.172606,-0.027394,m
12,forward,2.200,2.154304,-0.045696,m
13,forward,2.200,2.166218,-0.033782,m
14,forward,2.200,2.171020,-0.028980,m
15,forward,2.200,2.162138,-0.037862,m
16,forward,2.200,2.235109,0.035109,m
17,forward,2.200,2.243111,0.043111,m
18,forward,2.200,2.240649,0.040649,m
19,forward,2.200,2.240444,0.040444,m
20,forward,2.200,2.235674,0.035674,m
21,forward,2.200,2.231934,0.031934,m
22,forward,2.200,2.244430,0.044430,m
23,forward,2.200,2.232798,0.032798,m
24,forward,2.200,2.239807,0.039807,m
25,forward,2.200,2.239866,0.039866,m
26,forward,2.200,2.240981,0.040981,m
27,forward,2.200,2.230487,0.030487,m
28,forward,2.200,2.253577,0.053577,m
29,forward,2.200,2.250907,0.050907,m
30,forward,2.200,2.244370,0.044370,m
1,rotation,-90.0,-91.9668,-1.9668,deg
2,rotation,-90.0,-91.2015,-1.2015,deg
3,rotation,-90.0,-90.4277,-0.4277,deg
4,rotation,-90.0,-91.5365,-1.5365,deg
5,rotation,-90.0,-90.8181,-0.8181,deg
6,rotation,-90.0,-91.0245,-1.0245,deg
7,rotation,-90.0,-91.3173,-1.3173,deg
8,rotation,-90.0,-91.1916,-1.1916,deg
9,rotation,-90.0,-92.4645,-2.4645,deg
10,rotation,-90.0,-90.5967,-0.5967,deg
11,rotation,-90.0,-93.1147,-3.1147,deg
12,rotation,-90.0,-91.5792,-1.5792,deg
13,rotation,-90.0,-89.4992,0.5008,deg
14,rotation,-90.0,-89.3682,0.6318,deg
15,rotation,-90.0,-92.1041,-2.1041,deg
16,rotation,-90.0,-90.3466,-0.3466,deg
17,rotation,-90.0,-90.5211,-0.5211,deg
18,rotation,-90.0,-91.7502,-1.7502,deg
19,rotation,-90.0,-92.1856,-2.1856,deg
20,rotation,-90.0,-91.3370,-1.3370,deg
21,rotation,-90.0,-92.6017,-2.6017,deg
22,rotation,-90.0,-91.8470,-1.8470,deg
23,rotation,-90.0,-90.9709,-0.9709,deg
24,rotation,-90.0,-91.3017,-1.3017,deg
25,rotation,-90.0,-90.5059,-0.5059,deg
26,rotation,-90.0,-90.2264,-0.2264,deg
27,rotation,-90.0,-91.4236,-1.4236,deg
28,rotation,-90.0,-91.2326,-1.2326,deg
29,rotation,-90.0,-90.8292,-0.8292,deg
30,rotation,-90.0,-90.4504,-0.4504,deg
1,rotation,-60.0,-60.0162,-0.0162,deg
2,rotation,-60.0,-61.4765,-1.4765,deg
3,rotation,-60.0,-61.1093,-1.1093,deg
4,rotation,-60.0,-57.2239,2.7761,deg
5,rotation,-60.0,-61.3639,-1.3639,deg
6,rotation,-60.0,-61.1654,-1.1654,deg
7,rotation,-60.0,-59.3952,0.6048,deg
8,rotation,-60.0,-59.4713,0.5287,deg
9,rotation,-60.0,-60.2955,-0.2955,deg
10,rotation,-60.0,-60.0873,-0.0873,deg
11,rotation,-60.0,-59.7112,0.2888,deg
12,rotation,-60.0,-60.9669,-0.9669,deg
13,rotation,-60.0,-60.6713,-0.6713,deg
14,rotation,-60.0,-58.8818,1.1182,deg
15,rotation,-60.0,-60.9349,-0.9349,deg
16,rotation,-60.0,-59.8785,0.1215,deg
17,rotation,-60.0,-61.5526,-1.5526,deg
18,rotation,-60.0,-64.0562,-4.0562,deg
19,rotation,-60.0,-59.3178,0.6822,deg
20,rotation,-60.0,-60.8843,-0.8843,deg
21,rotation,-60.0,-61.6065,-1.6065,deg
22,rotation,-60.0,-61.7680,-1.7680,deg
23,rotation,-60.0,-60.4620,-0.4620,deg
24,rotation,-60.0,-59.6971,0.3029,deg
25,rotation,-60.0,-61.2125,-1.2125,deg
26,rotation,-60.0,-59.7436,0.2564,deg
27,rotation,-60.0,-57.7788,2.2212,deg
28,rotation,-60.0,-60.7291,-0.7291,deg
29,rotation,-60.0,-60.5895,-0.5895,deg
30,rotation,-60.0,-60.8025,-0.8025,deg
1,rotation,-30.0,-31.3504,-1.3504,deg
2,rotation,-30.0,-30.6569,-0.6569,deg
3,rotation,-30.0,-31.9870,-1.9870,deg
4,rotation,-30.0,-32.1581,-2.1581,deg
5,rotation,-30.0,-30.8219,-0.8219,deg
6,rotation,-30.0,-31.8444,-1.8444,deg
7,rotation,-30.0,-32.0030,-2.0030,deg
