trial,variable,condition,ground_truth,estimate,error,unit
1,forward,1.800,1.8000,1.801290,0.001290,m
2,forward,1.800,1.8000,1.815352,0.015352,m
3,forward,1.800,1.8000,1.834596,0.034596,m
4,forward,1.800,1.8000,1.815108,0.015108,m
5,forward,1.800,1.8000,1.794710,-0.005290,m
6,forward,1.800,1.8000,1.807159,0.007159,m
7,forward,1.800,1.8000,1.813510,0.013510,m
8,forward,1.800,1.8000,1.792462,-0.007538,m
9,forward,1.800,1.8000,1.788463,-0.011537,m
10,forward,1.800,1.8000,1.805209,0.005209,m
11,forward,1.800,1.8000,1.811183,0.011183,m
12,forward,1.800,1.8000,1.816676,0.016676,m
13,forward,1.800,1.8000,1.820443,0.020443,m
14,forward,1.800,1.8000,1.774358,-0.025642,m
15,forward,1.800,1.8000,1.813659,0.013659,m
16,forward,1.800,1.8000,1.811305,0.011305,m
17,forward,1.800,1.8000,1.797511,-0.002489,m
18,forward,1.800,1.8000,1.831093,0.031093,m
19,forward,1.800,1.8000,1.801521,0.001521,m
20,forward,1.800,1.8000,1.785470,-0.014530,m
21,forward,1.800,1.8000,1.813547,0.013547,m
22,forward,1.800,1.8000,1.801552,0.001552,m
23,forward,1.800,1.8000,1.804906,0.004906,m
24,forward,1.800,1.8000,1.803994,0.003994,m
25,forward,1.800,1.8000,1.798746,-0.001254,m
26,forward,1.800,1.8000,1.793670,-0.006330,m
27,forward,1.800,1.8000,1.809750,0.009750,m
28,forward,1.800,1.8000,1.799320,-0.000680,m
29,forward,1.800,1.8000,1.786963,-0.013037,m
30,forward,1.800,1.8000,1.817469,0.017469,m
1,forward,2.000,2.0000,1.983486,-0.016514,m
2,forward,2.000,2.0000,1.999590,-0.000410,m
3,forward,2.000,2.0000,2.016858,0.016858,m
4,forward,2.000,2.0000,2.045865,0.045865,m
5,forward,2.000,2.0000,1.986103,-0.013897,m
6,forward,2.000,2.0000,1.984633,-0.015367,m
7,forward,2.000,2.0000,2.005416,0.005416,m
8,forward,2.000,2.0000,1.993845,-0.006155,m
9,forward,2.000,2.0000,2.017686,0.017686,m
10,forward,2.000,2.0000,1.993292,-0.006708,m
11,forward,2.000,2.0000,2.001234,0.001234,m
12,forward,2.000,2.0000,1.990062,-0.009938,m
13,forward,2.000,2.0000,1.991188,-0.008812,m
14,forward,2.000,2.0000,1.998042,-0.001958,m
15,forward,2.000,2.0000,1.999124,-0.000876,m
16,forward,2.000,2.0000,1.998430,-0.001570,m
17,forward,2.000,2.0000,1.995402,-0.004598,m
18,forward,2.000,2.0000,1.960027,-0.039973,m
19,forward,2.000,2.0000,2.001533,0.001533,m
20,forward,2.000,2.0000,2.008415,0.008415,m
21,forward,2.000,2.0000,2.008344,0.008344,m
22,forward,2.000,2.0000,1.981213,-0.018787,m
23,forward,2.000,2.0000,2.011303,0.011303,m
24,forward,2.000,2.0000,2.003673,0.003673,m
25,forward,2.000,2.0000,1.994108,-0.005892,m
26,forward,2.000,2.0000,2.005356,0.005356,m
27,forward,2.000,2.0000,2.045542,0.045542,m
28,forward,2.000,2.0000,1.980831,-0.019169,m
29,forward,2.000,2.0000,2.001466,0.001466,m
30,forward,2.000,2.0000,2.015465,0.015465,m
1,forward,2.200,2.2000,2.182485,-0.017515,m
2,forward,2.200,2.2000,2.183055,-0.016945,m
3,forward,2.200,2.2000,2.173698,-0.026302,m
4,forward,2.200,2.2000,2.190081,-0.009919,m
5,forward,2.200,2.2000,2.179384,-0.020616,m
6,forward,2.200,2.2000,2.181504,-0.018496,m
7,forward,2.200,2.2000,2.181812,-0.018188,m
8,forward,2.200,2.2000,2.178356,-0.021644,m
9,forward,2.200,2.2000,2.181991,-0.018009,m
10,forward,2.200,2.2000,2.184558,-0.015442,m
11,forward,2.200,2.2000,2.179970,-0.020030,m
12,forward,2.200,2.2000,2.182701,-0.017299,m
13,forward,2.200,2.2000,2.176452,-0.023548,m
14,forward,2.200,2.2000,2.181212,-0.018788,m
15,forward,2.200,2.2000,2.183734,-0.016266,m
16,forward,2.200,2.2000,2.213090,0.013090,m
17,forward,2.200,2.2000,2.216077,0.016077,m
18,forward,2.200,2.2000,2.231510,0.031510,m
19,forward,2.200,2.2000,2.214349,0.014349,m
20,forward,2.200,2.2000,2.227671,0.027671,m
21,forward,2.200,2.2000,2.217554,0.017554,m
22,forward,2.200,2.2000,2.221449,0.021449,m
23,forward,2.200,2.2000,2.219792,0.019792,m
24,forward,2.200,2.2000,2.216224,0.016224,m
25,forward,2.200,2.2000,2.216720,0.016720,m
26,forward,2.200,2.2000,2.217776,0.017776,m
27,forward,2.200,2.2000,2.218124,0.018124,m
28,forward,2.200,2.2000,2.218587,0.018587,m
29,forward,2.200,2.2000,2.215234,0.015234,m
30,forward,2.200,2.2000,2.211263,0.011263,m
1,lateral,-0.300,-0.3000,-0.281449,0.018551,m
2,lateral,-0.300,-0.3000,-0.291426,0.008574,m
3,lateral,-0.300,-0.3000,-0.302077,-0.002077,m
4,lateral,-0.300,-0.3000,-0.280405,0.019595,m
5,lateral,-0.300,-0.3000,-0.276932,0.023068,m
6,lateral,-0.300,-0.3000,-0.285830,0.014170,m
7,lateral,-0.300,-0.3000,-0.294896,0.005104,m
8,lateral,-0.300,-0.3000,-0.315979,-0.015979,m
9,lateral,-0.300,-0.3000,-0.278571,0.021429,m
10,lateral,-0.300,-0.3000,-0.283765,0.016235,m
11,lateral,-0.300,-0.3000,-0.275403,0.024597,m
12,lateral,-0.300,-0.3000,-0.286943,0.013057,m
13,lateral,-0.300,-0.3000,-0.298014,0.001986,m
14,lateral,-0.300,-0.3000,-0.312425,-0.012425,m
15,lateral,-0.300,-0.3000,-0.294001,0.005999,m
16,lateral,-0.300,-0.3000,-0.296519,0.003481,m
17,lateral,-0.300,-0.3000,-0.307174,-0.007174,m
18,lateral,-0.300,-0.3000,-0.319671,-0.019671,m
19,lateral,-0.300,-0.3000,-0.298076,0.001924,m
20,lateral,-0.300,-0.3000,-0.280015,0.019985,m
21,lateral,-0.300,-0.3000,-0.297721,0.002279,m
22,lateral,-0.300,-0.3000,-0.280116,0.019884,m
23,lateral,-0.300,-0.3000,-0.288855,0.011145,m
24,lateral,-0.300,-0.3000,-0.272546,0.027454,m
25,lateral,-0.300,-0.3000,-0.285818,0.014182,m
26,lateral,-0.300,-0.3000,-0.297216,0.002784,m
27,lateral,-0.300,-0.3000,-0.302395,-0.002395,m
28,lateral,-0.300,-0.3000,-0.311480,-0.011480,m
29,lateral,-0.300,-0.3000,-0.296117,0.003883,m
30,lateral,-0.300,-0.3000,-0.284014,0.015986,m
1,lateral,0.000,0.0000,0.007200,0.007200,m
2,lateral,0.000,0.0000,0.012874,0.012874,m
3,lateral,0.000,0.0000,0.010634,0.010634,m
4,lateral,0.000,0.0000,0.055312,0.055312,m
5,lateral,0.000,0.0000,-0.006326,-0.006326,m
6,lateral,0.000,0.0000,0.005976,0.005976,m
7,lateral,0.000,0.0000,0.014742,0.014742,m
8,lateral,0.000,0.0000,-0.005456,-0.005456,m
9,lateral,0.000,0.0000,0.005026,0.005026,m
10,lateral,0.000,0.0000,0.001126,0.001126,m
11,lateral,0.000,0.0000,-0.008934,-0.008934,m
12,lateral,0.000,0.0000,-0.002546,-0.002546,m
13,lateral,0.000,0.0000,-0.013849,-0.013849,m
14,lateral,0.000,0.0000,0.001646,0.001646,m
15,lateral,0.000,0.0000,0.013534,0.013534,m
16,lateral,0.000,0.0000,0.013296,0.013296,m
17,lateral,0.000,0.0000,-0.001577,-0.001577,m
18,lateral,0.000,0.0000,-0.029972,-0.029972,m
19,lateral,0.000,0.0000,-0.018807,-0.018807,m
20,lateral,0.000,0.0000,-0.001273,-0.001273,m
21,lateral,0.000,0.0000,-0.006399,-0.006399,m
22,lateral,0.000,0.0000,0.001420,0.001420,m
23,lateral,0.000,0.0000,-0.003278,-0.003278,m
24,lateral,0.000,0.0000,0.007944,0.007944,m
25,lateral,0.000,0.0000,-0.011323,-0.011323,m
26,lateral,0.000,0.0000,0.008432,0.008432,m
27,lateral,0.000,0.0000,0.026178,0.026178,m
28,lateral,0.000,0.0000,-0.005421,-0.005421,m
29,lateral,0.000,0.0000,0.001510,0.001510,m
30,lateral,0.000,0.0000,0.006462,0.006462,m
1,lateral,0.300,0.3000,0.285142,-0.014858,m
2,lateral,0.300,0.3000,0.285592,-0.014408,m
3,lateral,0.300,0.3000,0.275385,-0.024615,m
4,lateral,0.300,0.3000,0.282162,-0.017838,m
5,lateral,0.300,0.3000,0.276309,-0.023691,m
6,lateral,0.300,0.3000,0.281044,-0.018956,m
7,lateral,0.300,0.3000,0.278315,-0.021685,m
8,lateral,0.300,0.3000,0.277199,-0.022801,m
9,lateral,0.300,0.3000,0.277125,-0.022875,m
10,lateral,0.300,0.3000,0.279679,-0.020321,m
11,lateral,0.300,0.3000,0.284527,-0.015473,m
12,lateral,0.300,0.3000,0.278118,-0.021882,m
13,lateral,0.300,0.3000,0.275878,-0.024122,m
