video_frame,video_time_s,requested_sim_time_s,log_row,log_time_s,model_sequence,state,camera_world_x,camera_world_z,pallet_world_x,pallet_world_z
0,0.0,0.0,0,0.0,0,SEARCH_SWEEP,0.0,0.0,0.3,2.2
1,0.03333333333333333,0.03333333333333333,1,0.03333333333333333,0,SEARCH_SWEEP,0.0,0.0,0.3,2.2
2,0.06666666666666667,0.06666666666666667,2,0.06666666666666667,0,SEARCH_SWEEP,0.0,0.0,0.3,2.2
3,0.1,0.1,3,0.1,1,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
4,0.13333333333333333,0.13333333333333333,4,0.13333333333333333,1,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
5,0.16666666666666666,0.16666666666666666,5,0.16666666666666666,1,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
6,0.2,0.2,6,0.19999999999999996,2,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
7,0.23333333333333334,0.23333333333333334,7,0.23333333333333328,2,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
8,0.26666666666666666,0.26666666666666666,8,0.2666666666666666,2,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
9,0.3,0.3,9,0.29999999999999993,3,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
10,0.3333333333333333,0.3333333333333333,10,0.33333333333333326,3,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
11,0.36666666666666664,0.36666666666666664,11,0.3666666666666666,3,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
12,0.4,0.4,12,0.3999999999999999,4,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
13,0.43333333333333335,0.43333333333333335,13,0.43333333333333324,4,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
14,0.4666666666666667,0.4666666666666667,14,0.46666666666666656,4,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
15,0.5,0.5,15,0.4999999999999999,5,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
16,0.5333333333333333,0.5333333333333333,16,0.5333333333333332,5,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
17,0.5666666666666667,0.5666666666666667,17,0.5666666666666665,5,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
18,0.6,0.6,18,0.5999999999999999,6,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
19,0.6333333333333333,0.6333333333333333,19,0.6333333333333332,6,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
20,0.6666666666666666,0.6666666666666666,20,0.6666666666666665,6,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
21,0.7,0.7,21,0.6999999999999998,7,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
22,0.7333333333333333,0.7333333333333333,22,0.7333333333333332,7,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
23,0.7666666666666667,0.7666666666666667,23,0.7666666666666665,7,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
24,0.8,0.8,24,0.7999999999999998,8,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
25,0.8333333333333334,0.8333333333333334,25,0.8333333333333331,8,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
26,0.8666666666666667,0.8666666666666667,26,0.8666666666666665,8,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
27,0.9,0.9,27,0.8999999999999998,9,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
28,0.9333333333333333,0.9333333333333333,28,0.9333333333333331,9,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
29,0.9666666666666667,0.9666666666666667,29,0.9666666666666665,9,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
30,1.0,1.0,30,0.9999999999999998,10,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
31,1.0333333333333334,1.0333333333333334,31,1.0333333333333332,10,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
32,1.0666666666666667,1.0666666666666667,32,1.0666666666666667,10,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
33,1.1,1.1,33,1.0999999999999999,11,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
34,1.1333333333333333,1.1333333333333333,34,1.1333333333333333,11,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
35,1.1666666666666667,1.1666666666666667,35,1.1666666666666667,11,ACQUIRE_VERIFY,0.0,0.0,0.3,2.2
