t_iso,t_mono,sim_time_s,frame_i,fsm_state,camera_frame_number,inference_ran,pose_src,model_det_ok,pnp_ok,result_fps,result_interval_s,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,pose_result_host_mono_ms,pos_x_m,pos_z_m,yaw_deg
2026-09-07T08:58:55.328+00:00,1000.0,0.0,0,PRECHECK,0,0,simulation,1,,,,999880.0,1000000.0,120.0,1000000.0,-0.008105240832382064,2.017482176325304,-0.9792418803457963
2026-09-07T08:58:55.428+00:00,1000.1,0.09999999999999996,1,SEARCH_SWEEP,1,0,simulation,1,,10.000000000000004,0.09999999999999996,999980.0,1000100.0,120.0,1000100.0,-0.0073446225374324695,2.0343531363792535,1.067070234347824
2026-09-07T08:58:55.528+00:00,1000.2,0.19999999999999996,2,ACQUIRE_VERIFY,2,0,simulation,1,,10.0,0.09999999999999999,1000080.0,1000200.0,120.0,1000200.0,-0.014326057970807033,1.991788578713175,1.300896409825043
2026-09-07T08:58:55.628+00:00,1000.3,0.29999999999999993,3,ACQUIRE_VERIFY,3,0,simulation,1,,10.000000000000002,0.09999999999999998,1000180.0,1000300.0,120.0,1000300.0,0.005360505636526335,2.0153111201001725,0.46759452291422576
2026-09-07T08:58:55.728+00:00,1000.4,0.3999999999999999,4,ACQUIRE_VERIFY,4,0,simulation,1,,10.000000000000002,0.09999999999999998,1000280.0,1000400.0,120.0,1000400.0,0.01651810940342255,2.0119110294312326,0.36302597211323473
2026-09-07T08:58:55.828+00:00,1000.5,0.4999999999999999,5,ACQUIRE_VERIFY,5,0,simulation,1,,10.000000000000002,0.09999999999999998,1000380.0,1000500.0,120.0,1000500.0,0.009485795405431405,2.0210271091875125,2.100860662021546
2026-09-07T08:58:55.928+00:00,1000.6,0.5999999999999999,6,ACQUIRE_VERIFY,6,0,simulation,1,,10.000000000000002,0.09999999999999998,1000480.0,1000600.0,120.0,1000600.0,-0.000726187234245503,1.9788540605450324,0.6225694825718904
2026-09-07T08:58:56.028+00:00,1000.7,0.6999999999999998,7,ACQUIRE_VERIFY,7,0,simulation,1,,10.000000000000002,0.09999999999999998,1000580.0,1000700.0,120.0,1000700.0,0.01928371945186113,1.980444086936164,-0.7701246640844488
2026-09-07T08:58:56.128+00:00,1000.8,0.7999999999999998,8,ACQUIRE_VERIFY,8,0,simulation,1,,10.000000000000002,0.09999999999999998,1000680.0,1000800.0,120.0,1000800.0,-0.00189862000960864,2.043458812935722,-1.1632784042435276
2026-09-07T08:58:56.228+00:00,1000.9,0.8999999999999998,9,ACQUIRE_VERIFY,9,0,simulation,1,,10.000000000000002,0.09999999999999998,1000780.0,1000900.0,120.0,1000900.0,-0.0018394838991796208,2.0148200184792935,-0.4664376010042872
2026-09-07T08:58:56.328+00:00,1001.0,0.9999999999999998,10,ACQUIRE_VERIFY,10,0,simulation,1,,10.000000000000002,0.09999999999999998,1000880.0,1001000.0,120.0,1001000.0,0.01659146977697116,2.0181372995449203,0.5411194607965797
2026-09-07T08:58:56.428+00:00,1001.1,1.0999999999999979,11,ACQUIRE_VERIFY,11,0,simulation,1,,10.000000000000192,0.09999999999999809,1000980.0,1001100.0,120.0,1001100.0,-0.005085714606304992,2.0335805025054254,0.06886792683570775
2026-09-07T08:58:56.528+00:00,1001.2,1.1999999999999957,12,ACQUIRE_VERIFY,12,0,simulation,1,,10.000000000000213,0.09999999999999787,1001080.0,1001200.0,120.00000000000011,1001200.0,0.011990394094140374,2.0239000666960427,-0.40254453555297687
