t_iso,t_mono,sim_time_s,phase,fsm_state,command,forklift_world_x_m,forklift_world_z_m,forklift_heading_deg,camera_world_x_m,camera_world_z_m,pallet_world_x_m,pallet_world_z_m,pallet_heading_deg,pallet_camera_x_m,pallet_camera_y_m,pallet_camera_z_m,pallet_relative_yaw_deg,pallet_pivot_x_m,pallet_pivot_z_m,pivot_to_pallet_distance_m,fork_tip_world_x_m,fork_tip_world_z_m,fork_tip_pallet_x_m,fork_tip_pallet_z_m,left_outer_tip_pallet_x_m,left_outer_tip_pallet_z_m,right_outer_tip_pallet_x_m,right_outer_tip_pallet_z_m,tip_insertion_depth_m,insertion_remaining_m,collision,minimum_clearance_m
2026-09-09T06:47:57.513+00:00,1000.0,0.0,initial,PRECHECK,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,4.0,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8200000000000003,-0.3,-2.8200000000000003,0.3,-2.8200000000000003,0.0,3.7,0,
2026-09-09T06:47:57.513+00:00,1000.0,0.0,tick,PRECHECK,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.547+00:00,1000.0333333333333,0.03333333333333333,tick,PRECHECK,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.580+00:00,1000.0666666666667,0.06666666666666667,tick,PRECHECK,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.594+00:00,1000.0809909234881,0.08099092348816976,tick,SEARCH_SWEEP,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.628+00:00,1000.1143242568215,0.1143242568215031,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.661+00:00,1000.1476575901548,0.14765759015483643,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.694+00:00,1000.1809909234881,0.18099092348816975,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.728+00:00,1000.2143242568216,0.21432425682150308,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.761+00:00,1000.2476575901549,0.2476575901548364,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.794+00:00,1000.2809909234882,0.28099092348816973,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.828+00:00,1000.3143242568215,0.31432425682150306,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.861+00:00,1000.3476575901549,0.3476575901548364,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.894+00:00,1000.3809909234882,0.3809909234881697,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.928+00:00,1000.4143242568215,0.41432425682150303,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.961+00:00,1000.4476575901548,0.44765759015483636,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:57.994+00:00,1000.4809909234882,0.4809909234881697,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:58.025+00:00,1000.5115093715918,0.5115093715918,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:58.058+00:00,1000.5448427049251,0.5448427049251333,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:58.091+00:00,1000.5781760382584,0.5781760382584666,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:58.125+00:00,1000.6115093715918,0.6115093715918,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
2026-09-09T06:47:58.152+00:00,1000.6383251403682,0.6383251403682255,tick,ACQUIRE_VERIFY,STOP,0.0,0.0,0.0,0.0,0.68,0.0,4.68,-180.0,0.0,0.425,3.9999999999999996,0.0,0.0,4.68,4.68,0.0,1.8599999999999999,0.0,-2.8199999999999994,-0.3,-2.8199999999999994,0.3,-2.8199999999999994,0.0,3.6999999999999997,0,
