distance_m,lateral_m,facing,success,state,elapsed,reasons,trace_hash
3.0,0.0,True,True,DONE,17.076666666666625,[],d218ebb936b9117fb0d2e42d90899caa704c37c72646cacd1a49ab56ccf0b9cf
3.0,0.1,True,True,DONE,24.820000000001308,[],7dca96ff0f9b1e0d1b571c1d0dc8c3142250af0f47133f5bdb31bc18c70e098f
3.0,0.2,True,True,DONE,25.006666666668007,[],8fc1432a4e63ba4f286d0e8eeb80499986935da85b988393b5819ad20613fa00
3.0,0.4,True,False,FAILED,10.866666666666639,['no commandable visibility-safe insertion rotation (minimum 0.50deg): front pocket clearance'],84292926ad0d88c967969c1603fecf0d516de64f47f957db5ed91fbc5b6c84e6
3.0,0.3,True,False,FAILED,10.833333333333306,['no commandable visibility-safe insertion rotation (minimum 0.50deg): front pocket clearance'],d623169f8c595ba86534c0dc969dd425a4e176de27f81da1da540b0d47ae5400
3.0,0.25,True,True,DONE,25.030000000001344,[],388cf69272b3e006e5a42b4f35f3352c897d5b2b3658a7c943b363a97c764f4a
3.0,0.275,True,True,DONE,25.040000000001346,[],3fe26d3bbcbcefec4a5e898abc4f6a3ce1a404d6addf66f024c57fac571a0271
3.0,0.2875,True,False,FAILED,10.799999999999972,['no commandable visibility-safe insertion rotation (minimum 0.50deg): front pocket clearance'],3c227db3802919b7225415f931f378b15715c11f88250aa0891b986bf2576757
3.0,0.28125,True,False,FAILED,10.799999999999972,['no commandable visibility-safe insertion rotation (minimum 0.50deg): front pocket clearance'],591ba5d8ab35d3dafe33e6ce4639dbe4959e0151147b2e0c722356f8229bf0cf
3.0,0.06875,True,True,DONE,24.78666666666797,[],11d46a7d127f09cdc265bc305ac99d1fcba6c4b779fc2e056bd769b0c86e6ff5
3.0,0.1375,True,True,DONE,24.820000000001308,[],0d02e1f7f5d3d61c87ce6755ae02a2920300d6b977410a66c03cbd0701aa5851
3.0,0.20625,True,True,DONE,25.006666666668007,[],d0d1eeb71cda98263e818a4fa0cd47520adb89e735875d0219eb67c6322491fa
3.0,0.2475,True,True,DONE,25.030000000001344,[],15445e939e0d47e41bd94a5b56d44f72beeb05469c202cf99d455be3b2f1af8d
3.0,0.30125,True,False,FAILED,10.833333333333306,['no commandable visibility-safe insertion rotation (minimum 0.50deg): front pocket clearance'],8b962c72c102e62334e44689ccb628f25785d8a0cd1eed9645045ef7d7f2367c
3.0,0.5,True,False,FAILED,10.966666666666638,['no commandable visibility-safe insertion rotation (minimum 0.50deg): front pocket clearance'],9288dffe2208edff1950ddb48996bd1e004ced7108f65190a6077202a8d70499
