distance_m,lateral_m,facing,success,state,elapsed,reasons,trace_hash
3.0,0.0,True,True,DONE,17.076666666666625,[],0cb37b37e3de52697497a99601ab9280f24b05981aceaaf95aa8d62029316b15
3.0,0.1,True,True,DONE,24.78666666666797,[],a8f3966b1bbc53d679760027f8e94ad38c151272c03e4034d6a39002520d2b79
3.0,0.2,True,True,DONE,25.006666666668007,[],59be3e656f0af85d910fa2499a75f160ef330ee2434b1eac672ce418548f937e
3.0,0.4,True,False,FAILED,16.199999999999964,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],dba1f0d2ca67509dc323ad9557f89212faae79b74a215e0c9912c69390627ae8
3.0,0.3,True,True,DONE,29.0166666666682,[],76f094a3461d283d4d10c47a44d7960099071f275556c22a003196d6c7ba3f75
3.0,0.35,True,True,DONE,29.036666666668204,[],42663f10e549c39c64a36bf205a1cb733097cad3150173bdf86b46cf36c53272
3.0,0.375,True,True,DONE,29.056666666668207,[],109ad5cb4533d9b0a58069e10b3467a71a51a8c4e8130ea18cffa4121dfb3684
3.0,0.3875,True,False,DONE,29.06666666666821,['fork/slot geometry collision'],0bf7cfd5dbd98893c4eb2ebe09cdcbccd6b836c5983f8b2f9b33d0225f13fe4a
3.0,0.38125,True,False,DONE,29.056666666668207,['fork/slot geometry collision'],58f9f21826cf09315d7b7c524223364d3baf45690969a72791e7b71b02073857
3.0,0.09375,True,True,DONE,24.78666666666797,[],d7ba93948e6df9c81f05cf9a69e13c37d54937f4aea99bec00f5a66b050b75b0
3.0,0.1875,True,True,DONE,24.996666666668006,[],a2af1acd627d6c7bb474d2f346d77d133560c4509ee4ca5098252a638dba3c82
3.0,0.28125,True,False,DONE,25.040000000001346,['fork/slot geometry collision'],f6728c7a77c2619857acff8a0442073d32d6b572c98e806a00096b9f01530ac8
3.0,0.3375,True,True,DONE,29.026666666668202,[],beab19bce55d6375b40e29ea6781139bdb089c9b78481a714b3f075c43f68d7c
3.0,0.40125,True,False,FAILED,16.199999999999964,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],427b8dcfd302f1b07f3c60455528ceb8854b978f557a74d3cff4dd41b0f463c9
3.0,0.5,True,False,FAILED,16.266666666666634,['waypoint planner: no rotation+forward action restores safe horizontal/vertical visibility'],a36cc1a6d7b446067a206ddcd6d34517631d6293262199d59c73796774850f54
3.0,0.240625,True,True,DONE,25.030000000001344,[],03398862da478a7a14a0566a2d55f2c4f0b3a017817cd5c70a5fc5ecf16d9243
3.0,0.2609375,True,True,DONE,25.030000000001344,[],1bed9af0b1a654e771ea76c12630af0bc8368d0984a805d5dffb2a10c8b9823a
3.0,0.2710938,True,True,DONE,25.040000000001346,[],df52be86f01fdb99ecd923d8e96337e9fa4627d1770cb714b6d647eecc939721
3.0,0.2761719,True,True,DONE,25.040000000001346,[],3ae5b48a4a6c47c862f06718be810bf83c763406c3119d047cd8323e2f4416d9
3.0,0.069043,True,True,DONE,24.78666666666797,[],6cb1dd6706233196092512438bf11050176a104e3dfa62473d4445ccadb52e84
3.0,0.1380859,True,True,DONE,24.79666666666797,[],d244fffad597ea1bd742f52c66df6b7466d22994e2f5f8e55f358a38de05a063
3.0,0.2071289,True,True,DONE,25.006666666668007,[],4d8ce8a5f33832803fdab2f4e4da97c48038e633dc343aef44e98ef2ca7b48e9
