t_iso,t_mono,frame_i,fsm_state,align_sub,det_ok,pos_x,pos_y,pos_z,yaw_deg,yaw_smooth_deg,width_m,rel_yaw_deg,fps
2026-08-31T16:19:43.021,85127.734000,1,PRECHECK,PRECHECK,0,,,,,,,0.0000,1.51
2026-08-31T16:19:43.158,85127.875000,2,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.1606,0.65
2026-08-31T16:19:43.276,85128.000000,4,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.1724,0.65
2026-08-31T16:19:43.423,85128.140000,7,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.2369,0.65
2026-08-31T16:19:43.523,85128.250000,9,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.2637,0.65
2026-08-31T16:19:43.675,85128.390000,12,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.2920,19.31
2026-08-31T16:19:43.826,85128.546000,15,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.3200,19.31
2026-08-31T16:19:43.975,85128.703000,18,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.3340,19.31
2026-08-31T16:19:44.124,85128.843000,21,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.4339,19.31
2026-08-31T16:19:44.224,85128.953000,23,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.4304,19.97
2026-08-31T16:19:44.374,85129.093000,26,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,0.8063,19.97
2026-08-31T16:19:44.492,85129.218000,28,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-0.4125,19.97
2026-08-31T16:19:44.643,85129.359000,31,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-1.1946,19.97
2026-08-31T16:19:44.782,85129.500000,34,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-7.3164,19.38
2026-08-31T16:19:44.951,85129.671000,36,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-6.6298,19.38
2026-08-31T16:19:45.064,85129.781000,38,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,-2.7524,19.38
2026-08-31T16:19:45.188,85129.906000,40,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,4.5518,19.38
2026-08-31T16:19:45.296,85130.015000,42,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,10.9240,16.43
2026-08-31T16:19:45.400,85130.125000,44,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,16.3792,16.43
2026-08-31T16:19:45.513,85130.234000,46,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,21.9862,16.43
2026-08-31T16:19:45.618,85130.343000,48,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,25.3365,16.43
2026-08-31T16:19:45.732,85130.453000,50,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,29.1983,16.43
2026-08-31T16:19:45.838,85130.562000,52,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,33.8218,18.43
2026-08-31T16:19:45.995,85130.718000,55,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,42.7412,18.43
2026-08-31T16:19:46.108,85130.828000,57,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,44.4847,18.43
2026-08-31T16:19:46.215,85130.937000,59,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,46.1962,18.43
2026-08-31T16:19:46.330,85131.046000,61,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,48.0605,18.38
2026-08-31T16:19:46.438,85131.156000,63,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,53.5331,18.38
2026-08-31T16:19:46.547,85131.265000,65,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,56.2422,18.38
2026-08-31T16:19:46.660,85131.375000,67,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,52.4104,18.38
2026-08-31T16:19:46.769,85131.484000,69,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,50.3619,18.38
2026-08-31T16:19:46.876,85131.593000,71,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,51.0015,18.20
2026-08-31T16:19:46.984,85131.703000,73,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,48.9910,18.20
2026-08-31T16:19:47.095,85131.812000,75,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,47.5127,18.20
2026-08-31T16:19:47.208,85131.921000,77,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,52.3449,18.20
2026-08-31T16:19:47.315,85132.031000,79,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,47.9204,18.20
2026-08-31T16:19:47.428,85132.156000,81,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,54.4677,17.99
2026-08-31T16:19:47.543,85132.265000,83,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,63.5913,17.99
2026-08-31T16:19:47.653,85132.375000,85,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,65.3305,17.99
2026-08-31T16:19:47.760,85132.484000,87,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,73.0822,17.99
2026-08-31T16:19:47.868,85132.593000,89,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,81.1722,17.99
2026-08-31T16:19:47.987,85132.703000,91,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,91.6191,18.00
2026-08-31T16:19:48.101,85132.828000,93,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,91.5410,18.00
2026-08-31T16:19:48.209,85132.937000,95,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,86.5796,18.00
2026-08-31T16:19:48.330,85133.046000,97,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,82.5883,18.00
2026-08-31T16:19:48.444,85133.171000,99,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,97.7471,18.00
2026-08-31T16:19:48.555,85133.281000,101,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,110.0469,17.66
2026-08-31T16:19:48.662,85133.390000,103,SEARCH_SWEEP,SEARCH_SWEEP,0,,,,,,,112.7429,17.66
