t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:43:45.129,1,PRECHECK,PRECHECK,3,,1788252223891.765,,timestamp_domain.system_time,20971546.000,,1,20971562.000,20972765.000,1203.000,1219.000,20972765.000,1219.000,0,0,,,,
2026-09-01T17:43:45.383,2,PRECHECK,PRECHECK,46,43,1788252225324.789,1433.024,timestamp_domain.system_time,20973000.000,1454.000,1,20973000.000,20973031.000,31.000,31.000,20973031.000,31.000,1,1,-2.1931,-0.163883,4.006339,-2.3424
2026-09-01T17:43:45.484,3,PRECHECK,PRECHECK,49,3,1788252225424.891,100.102,timestamp_domain.system_time,20973093.000,93.000,1,20973093.000,20973125.000,32.000,32.000,20973125.000,32.000,1,1,-1.9439,-0.165046,3.997286,-2.3644
2026-09-01T17:43:45.576,4,PRECHECK,PRECHECK,52,3,1788252225524.377,99.486,timestamp_domain.system_time,20973187.000,94.000,1,20973187.000,20973218.000,31.000,31.000,20973218.000,31.000,1,1,-2.1078,-0.163984,4.006334,-2.3439
2026-09-01T17:43:45.661,5,PRECHECK,PRECHECK,53,1,1788252225557.326,32.949,timestamp_domain.system_time,20973281.000,94.000,1,20973281.000,20973296.000,15.000,15.000,20973296.000,15.000,1,1,-2.1164,-0.164545,4.000360,-2.3554
2026-09-01T17:43:45.744,6,PRECHECK,PRECHECK,57,4,1788252225690.865,133.539,timestamp_domain.system_time,20973359.000,78.000,1,20973359.000,20973390.000,31.000,31.000,20973390.000,31.000,1,1,-3.3267,-0.161293,3.990849,-2.3144
2026-09-01T17:43:45.833,7,PRECHECK,PRECHECK,60,3,1788252225791.087,100.222,timestamp_domain.system_time,20973453.000,94.000,1,20973453.000,20973468.000,15.000,15.000,20973468.000,15.000,1,1,-3.4527,-0.161119,3.990695,-2.3120
2026-09-01T17:43:45.911,8,PRECHECK,PRECHECK,63,3,1788252225891.212,100.126,timestamp_domain.system_time,20973531.000,78.000,1,20973546.000,20973546.000,0.000,15.000,20973546.000,15.000,1,1,-3.3607,-0.161757,4.002785,-2.3141
2026-09-01T17:43:46.002,9,PRECHECK,PRECHECK,65,2,1788252225958.022,66.810,timestamp_domain.system_time,20973625.000,94.000,1,20973625.000,20973640.000,15.000,15.000,20973640.000,15.000,1,1,-3.3476,-0.160971,3.993772,-2.3081
2026-09-01T17:43:46.102,10,PRECHECK,PRECHECK,68,3,1788252226057.973,99.951,timestamp_domain.system_time,20973703.000,78.000,1,20973703.000,20973734.000,31.000,31.000,20973750.000,47.000,1,1,-3.0392,-0.160588,3.985111,-2.3076
