t_iso,t_mono,frame_i,fsm_state,align_sub,det_ok,pos_x,pos_y,pos_z,yaw_deg,yaw_model_raw_deg,width_m,fps,rot_stop_command,rot_stop_mode,rot_stop_measured_rate_deg_s,rot_stop_effective_rate_deg_s,rot_stop_error_deg,rot_post_stop_deg,rot_post_stop_peak_abs_deg
2026-09-03T19:04:10.700,26984.359000,1,PRECHECK,PRECHECK,0,,,,,,,1.86,,,,,,,
2026-09-03T19:04:10.902,26984.562000,2,PRECHECK,PRECHECK,1,-0.137259,0.417711,3.383393,-8.2812,-8.2812,1.0000,1.11,,,,,,,
2026-09-03T19:04:11.045,26984.703000,4,PRECHECK,PRECHECK,1,-0.131819,0.417885,3.378595,-8.5696,-8.5696,1.0000,1.11,,,,,,,
2026-09-03T19:04:11.178,26984.843000,6,PRECHECK,PRECHECK,1,-0.136320,0.420268,3.407261,-8.1825,-8.1825,1.0000,1.11,,,,,,,
2026-09-03T19:04:11.298,26984.953000,8,PRECHECK,PRECHECK,1,-0.134827,0.418850,3.387453,-8.6584,-8.6584,1.0000,1.11,,,,,,,
2026-09-03T19:04:11.415,26985.078000,10,PRECHECK,PRECHECK,1,-0.138160,0.417779,3.397322,-7.6827,-7.6827,1.0000,15.34,,,,,,,
2026-09-03T19:04:11.574,26985.234000,13,PRECHECK,PRECHECK,1,-0.134356,0.420355,3.401644,-8.4260,-8.4260,1.0000,15.34,,,,,,,
2026-09-03T19:04:11.683,26985.343000,15,PRECHECK,PRECHECK,1,-0.136328,0.420008,3.402381,-8.3522,-8.3522,1.0000,15.34,,,,,,,
2026-09-03T19:04:11.836,26985.500000,16,PRECHECK,PRECHECK,1,-0.133299,0.421341,3.412996,-9.2014,-9.2014,1.0000,15.34,,,,,,,
2026-09-03T19:04:11.942,26985.609000,18,PRECHECK,PRECHECK,1,-0.132818,0.419586,3.401375,-9.0116,-9.0116,1.0000,15.14,,,,,,,
2026-09-03T19:04:12.094,26985.750000,21,PRECHECK,PRECHECK,1,-0.138030,0.418103,3.386533,-8.0020,-8.0020,1.0000,15.14,,,,,,,
2026-09-03T19:04:12.196,26985.859000,23,PRECHECK,PRECHECK,1,-0.136356,0.417711,3.383153,-8.0650,-8.0650,1.0000,15.14,,,,,,,
2026-09-03T19:04:12.348,26986.000000,26,PRECHECK,PRECHECK,1,-0.135318,0.419261,3.393094,-8.3467,-8.3467,1.0000,15.14,,,,,,,
2026-09-03T19:04:12.461,26986.125000,28,PRECHECK,PRECHECK,1,-0.135250,0.421345,3.416336,-8.8042,-8.8042,1.0000,19.35,,,,,,,
2026-09-03T19:04:12.585,26986.250000,30,PRECHECK,PRECHECK,1,-0.141333,0.417454,3.375964,-7.8109,-7.8109,1.0000,19.35,,,,,,,
2026-09-03T19:04:12.699,26986.359000,32,PRECHECK,PRECHECK,1,-0.136926,0.417530,3.379198,-8.1209,-8.1209,1.0000,19.35,,,,,,,
2026-09-03T19:04:12.820,26986.484000,33,PRECHECK,PRECHECK,1,-0.131965,0.421928,3.412354,-8.4966,-8.4966,1.0000,19.35,,,,,,,
2026-09-03T19:04:12.981,26986.640000,36,PRECHECK,PRECHECK,1,-0.139244,0.418255,3.379700,-7.9055,-7.9055,1.0000,15.59,,,,,,,
2026-09-03T19:04:13.153,26986.812000,38,PRECHECK,PRECHECK,1,-0.139983,0.418181,3.398790,-8.1667,-8.1667,1.0000,15.59,,,,,,,
2026-09-03T19:04:13.310,26986.968000,40,PRECHECK,PRECHECK,1,-0.140284,0.416657,3.386741,-8.2787,-8.2787,1.0000,15.59,,,,,,,
2026-09-03T19:04:13.461,26987.125000,42,PRECHECK,PRECHECK,1,-0.135784,0.419017,3.382156,-7.9504,-7.9504,1.0000,15.59,,,,,,,
2026-09-03T19:04:13.634,26987.296000,44,PRECHECK,PRECHECK,1,-0.133204,0.420761,3.397439,-8.4573,-8.4573,1.0000,12.49,,,,,,,
