t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,pose_src,pose_n_used,pose_rms_px,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-04T15:08:19.455,1,PRECHECK,PRECHECK,1,,1788502097838.138,,timestamp_domain.system_time,4324656.000,,1,4324656.000,4326156.000,1500.000,1500.000,4326156.000,1500.000,0,0,,,,,,,
2026-09-04T15:08:19.667,2,SEARCH_SWEEP,SEARCH_SWEEP,54,53,1788502099604.241,1766.103,timestamp_domain.system_time,4326328.000,1672.000,1,4326328.000,4326359.000,31.000,31.000,4326359.000,31.000,1,1,pnp_visible_ransac,9,1.248,9.8306,-0.425928,4.662763,-5.2193
2026-09-04T15:08:19.772,3,ACQUIRE_VERIFY,ACQUIRE_VERIFY,57,3,1788502099704.280,100.039,timestamp_domain.system_time,4326437.000,109.000,1,4326437.000,4326468.000,31.000,31.000,4326468.000,31.000,1,1,pnp_visible_ransac,9,1.232,9.9373,-0.417325,4.530720,-5.2627
2026-09-04T15:08:19.910,4,ACQUIRE_VERIFY,ACQUIRE_VERIFY,62,5,1788502099871.258,166.978,timestamp_domain.system_time,4326578.000,141.000,1,4326578.000,4326609.000,31.000,31.000,4326609.000,31.000,1,1,pnp_visible_ransac,9,1.259,9.3099,-0.405007,4.460265,-5.1884
2026-09-04T15:08:20.005,5,ACQUIRE_VERIFY,ACQUIRE_VERIFY,65,3,1788502099971.012,99.754,timestamp_domain.system_time,4326671.000,93.000,1,4326671.000,4326703.000,32.000,32.000,4326703.000,32.000,1,1,pnp_visible_ransac,9,1.479,9.5017,-0.413915,4.638958,-5.0988
2026-09-04T15:08:20.105,6,ACQUIRE_VERIFY,ACQUIRE_VERIFY,67,2,1788502100037.776,66.764,timestamp_domain.system_time,4326765.000,94.000,1,4326765.000,4326812.000,47.000,47.000,4326812.000,47.000,1,1,pnp_visible_ransac,9,1.299,9.7664,-0.414537,4.552855,-5.2024
2026-09-04T15:08:20.206,7,ACQUIRE_VERIFY,ACQUIRE_VERIFY,70,3,1788502100137.766,99.990,timestamp_domain.system_time,4326875.000,110.000,1,4326875.000,4326906.000,31.000,31.000,4326906.000,31.000,1,1,pnp_visible_ransac,9,1.423,9.7051,-0.412430,4.554105,-5.1747
2026-09-04T15:08:20.302,8,ACQUIRE_VERIFY,ACQUIRE_VERIFY,73,3,1788502100237.945,100.178,timestamp_domain.system_time,4326953.000,78.000,1,4326953.000,4326984.000,31.000,31.000,4327000.000,47.000,1,1,pnp_visible_ransac,9,1.330,9.9865,-0.420252,4.620568,-5.1969
2026-09-04T15:08:20.403,9,ACQUIRE_VERIFY,ACQUIRE_VERIFY,76,3,1788502100337.817,99.872,timestamp_domain.system_time,4327062.000,109.000,1,4327062.000,4327093.000,31.000,31.000,4327109.000,47.000,1,1,pnp_visible_ransac,9,2.695,-13.4935,-0.287513,5.828008,-2.8243
2026-09-04T15:08:20.489,10,ACQUIRE_VERIFY,ACQUIRE_VERIFY,77,1,1788502100371.954,34.137,timestamp_domain.system_time,4327156.000,94.000,1,4327156.000,4327187.000,31.000,31.000,4327187.000,31.000,1,1,pnp_visible_ransac,9,2.355,-8.2782,-0.317129,5.515060,-3.2910
2026-09-04T15:08:20.609,11,ACQUIRE_VERIFY,ACQUIRE_VERIFY,82,5,1788502100538.340,166.386,timestamp_domain.system_time,4327250.000,94.000,1,4327250.000,4327296.000,46.000,46.000,4327312.000,62.000,1,1,pnp_visible_ransac,9,1.732,8.9641,-0.414114,4.776289,-4.9553
2026-09-04T15:08:20.691,12,ACQUIRE_VERIFY,ACQUIRE_VERIFY,85,3,1788502100638.004,99.664,timestamp_domain.system_time,4327359.000,109.000,1,4327359.000,4327390.000,31.000,31.000,4327390.000,31.000,1,1,pnp_visible_ransac,9,1.395,10.0144,-0.416489,4.526532,-5.2570
2026-09-04T15:08:20.793,13,ACQUIRE_VERIFY,ACQUIRE_VERIFY,88,3,1788502100738.163,100.159,timestamp_domain.system_time,4327468.000,109.000,1,4327468.000,4327500.000,32.000,32.000,4327500.000,32.000,1,1,pnp_visible_ransac,9,1.409,9.7098,-0.410726,4.541333,-5.1679
2026-09-04T15:08:20.885,14,ACQUIRE_VERIFY,ACQUIRE_VERIFY,91,3,1788502100838.214,100.051,timestamp_domain.system_time,4327546.000,78.000,1,4327546.000,4327578.000,32.000,32.000,4327578.000,32.000,1,1,pnp_visible_ransac,9,1.575,9.4988,-0.410556,4.608941,-5.0904
2026-09-04T15:08:20.977,15,ACQUIRE_VERIFY,ACQUIRE_VERIFY,94,3,1788502100939.406,101.193,timestamp_domain.system_time,4327656.000,110.000,1,4327656.000,4327671.000,15.000,15.000,4327671.000,15.000,1,1,pnp_visible_ransac,9,3.200,-14.4908,-0.276411,5.905477,-2.6798
2026-09-04T15:08:21.077,16,ACQUIRE_VERIFY,ACQUIRE_VERIFY,97,3,1788502101038.208,98.801,timestamp_domain.system_time,4327750.000,94.000,1,4327750.000,4327781.000,31.000,31.000,4327781.000,31.000,1,1,pnp_visible_ransac,9,2.637,-10.0210,-0.304894,5.613002,-3.1092
2026-09-04T15:08:21.178,17,ACQUIRE_VERIFY,ACQUIRE_VERIFY,100,3,1788502101138.488,100.281,timestamp_domain.system_time,4327843.000,93.000,1,4327843.000,4327875.000,32.000,32.000,4327875.000,32.000,1,1,pnp_visible_ransac,9,1.513,9.7221,-0.414660,4.589834,-5.1623
2026-09-04T15:08:21.259,18,ACQUIRE_VERIFY,ACQUIRE_VERIFY,102,2,1788502101205.134,66.645,timestamp_domain.system_time,4327921.000,78.000,1,4327921.000,4327953.000,32.000,32.000,4327953.000,32.000,1,1,pnp_visible_ransac,9,1.285,9.4873,-0.406524,4.454970,-5.2139
2026-09-04T15:08:21.360,19,ACQUIRE_VERIFY,ACQUIRE_VERIFY,105,3,1788502101306.161,101.028,timestamp_domain.system_time,4328031.000,110.000,1,4328031.000,4328062.000,31.000,31.000,4328062.000,31.000,1,1,pnp_visible_ransac,9,1.395,9.3090,-0.404934,4.503365,-5.1381
2026-09-04T15:08:21.460,20,ACQUIRE_VERIFY,ACQUIRE_VERIFY,107,2,1788502101372.461,66.300,timestamp_domain.system_time,4328109.000,78.000,1,4328109.000,4328140.000,31.000,31.000,4328156.000,47.000,1,1,pnp_visible_ransac,9,2.231,-6.0415,-0.330185,5.377686,-3.5135
2026-09-04T15:08:21.586,21,ACQUIRE_VERIFY,ACQUIRE_VERIFY,111,4,1788502101505.592,133.131,timestamp_domain.system_time,4328250.000,141.000,1,4328250.000,4328281.000,31.000,31.000,4328281.000,31.000,1,1,pnp_visible_ransac,9,3.123,-14.5661,-0.276034,5.863235,-2.6954
2026-09-04T15:08:21.695,22,ACQUIRE_VERIFY,ACQUIRE_VERIFY,114,3,1788502101605.832,100.240,timestamp_domain.system_time,4328328.000,78.000,1,4328328.000,4328375.000,47.000,47.000,4328390.000,62.000,1,1,pnp_visible_ransac,9,1.574,9.7736,-0.415691,4.605737,-5.1573
2026-09-04T15:08:21.780,23,ACQUIRE_VERIFY,ACQUIRE_VERIFY,118,4,1788502101738.474,132.642,timestamp_domain.system_time,4328453.000,125.000,1,4328453.000,4328484.000,31.000,31.000,4328484.000,31.000,1,1,pnp_visible_ransac,9,3.123,-15.8035,-0.268046,5.949172,-2.5798
2026-09-04T15:08:21.881,24,ACQUIRE_VERIFY,ACQUIRE_VERIFY,121,3,1788502101838.778,100.304,timestamp_domain.system_time,4328546.000,93.000,1,4328546.000,4328578.000,32.000,32.000,4328578.000,32.000,1,1,pnp_visible_ransac,9,4.446,-25.5433,-0.191108,6.308301,-1.7352
2026-09-04T15:08:21.980,25,ACQUIRE_VERIFY,ACQUIRE_VERIFY,124,3,1788502101938.898,100.120,timestamp_domain.system_time,4328640.000,94.000,1,4328640.000,4328671.000,31.000,31.000,4328687.000,47.000,1,1,pnp_visible_ransac,9,1.273,9.2693,-0.404850,4.456723,-5.1905
2026-09-04T15:08:22.075,26,ACQUIRE_VERIFY,ACQUIRE_VERIFY,126,2,1788502102006.227,67.328,timestamp_domain.system_time,4328750.000,110.000,1,4328750.000,4328781.000,31.000,31.000,4328781.000,31.000,1,1,pnp_visible_ransac,9,1.394,9.3411,-0.407978,4.508733,-5.1704
2026-09-04T15:08:22.167,27,ACQUIRE_VERIFY,ACQUIRE_VERIFY,129,3,1788502102105.520,99.293,timestamp_domain.system_time,4328843.000,93.000,1,4328843.000,4328859.000,16.000,16.000,4328859.000,16.000,1,1,pnp_visible_ransac,9,1.467,9.4038,-0.413059,4.592438,-5.1395
2026-09-04T15:08:22.262,28,ACQUIRE_VERIFY,ACQUIRE_VERIFY,132,3,1788502102205.757,100.238,timestamp_domain.system_time,4328921.000,78.000,1,4328921.000,4328968.000,47.000,47.000,4328968.000,47.000,1,1,pnp_visible_ransac,9,1.459,9.5937,-0.410881,4.560336,-5.1484
2026-09-04T15:08:22.362,29,ACQUIRE_VERIFY,ACQUIRE_VERIFY,135,3,1788502102305.777,100.020,timestamp_domain.system_time,4329015.000,94.000,1,4329015.000,4329046.000,31.000,31.000,4329062.000,47.000,1,1,pnp_visible_ransac,9,1.443,9.5568,-0.409368,4.520774,-5.1742
2026-09-04T15:08:22.449,30,ACQUIRE_VERIFY,ACQUIRE_VERIFY,138,3,1788502102407.679,101.902,timestamp_domain.system_time,4329109.000,94.000,1,4329109.000,4329156.000,47.000,47.000,4329156.000,47.000,1,1,pnp_visible_ransac,9,1.232,9.1411,-0.402381,4.423054,-5.1981
2026-09-04T15:08:22.595,31,ACQUIRE_VERIFY,ACQUIRE_VERIFY,141,3,1788502102506.289,98.610,timestamp_domain.system_time,4329250.000,141.000,1,4329250.000,4329296.000,46.000,46.000,4329296.000,46.000,1,1,pnp_visible_ransac,9,1.367,9.7515,-0.411539,4.522963,-5.1990
2026-09-04T15:08:22.725,32,ACQUIRE_VERIFY,ACQUIRE_VERIFY,145,4,1788502102639.631,133.343,timestamp_domain.system_time,4329375.000,125.000,1,4329375.000,4329406.000,31.000,31.000,4329421.000,46.000,1,1,pnp_visible_ransac,9,2.460,-11.3674,-0.300471,5.678681,-3.0288
2026-09-04T15:08:22.821,33,ACQUIRE_VERIFY,ACQUIRE_VERIFY,149,4,1788502102774.424,134.793,timestamp_domain.system_time,4329484.000,109.000,1,4329484.000,4329515.000,31.000,31.000,4329515.000,31.000,1,1,pnp_visible_ransac,9,3.554,-14.8070,-0.271312,5.915184,-2.6261
2026-09-04T15:08:22.920,34,ACQUIRE_VERIFY,ACQUIRE_VERIFY,152,3,1788502102872.927,98.503,timestamp_domain.system_time,4329593.000,109.000,1,4329593.000,4329625.000,32.000,32.000,4329625.000,32.000,1,1,pnp_visible_ransac,8,4.021,-26.9736,-0.184657,6.560901,-1.6122
2026-09-04T15:08:23.021,35,ACQUIRE_VERIFY,ACQUIRE_VERIFY,155,3,1788502102973.109,100.182,timestamp_domain.system_time,4329687.000,94.000,1,4329687.000,4329718.000,31.000,31.000,4329718.000,31.000,1,1,pnp_visible_ransac,9,1.386,9.3838,-0.405836,4.460891,-5.1983
2026-09-04T15:08:23.138,36,ACQUIRE_VERIFY,ACQUIRE_VERIFY,158,3,1788502103073.430,100.320,timestamp_domain.system_time,4329781.000,94.000,1,4329796.000,4329843.000,47.000,62.000,4329843.000,62.000,1,1,pnp_visible_ransac,9,1.405,9.4662,-0.411396,4.529402,-5.1898
2026-09-04T15:08:23.266,37,ACQUIRE_VERIFY,ACQUIRE_VERIFY,162,4,1788502103206.810,133.380,timestamp_domain.system_time,4329921.000,140.000,1,4329937.000,4329968.000,31.000,47.000,4329968.000,47.000,1,1,pnp_visible_ransac,9,1.358,9.6110,-0.412610,4.550555,-5.1810
2026-09-04T15:08:23.398,38,ACQUIRE_VERIFY,ACQUIRE_VERIFY,166,4,1788502103340.532,133.722,timestamp_domain.system_time,4330046.000,125.000,1,4330062.000,4330093.000,31.000,47.000,4330093.000,47.000,1,1,pnp_visible_ransac,9,1.600,9.5404,-0.415186,4.634982,-5.1187
2026-09-04T15:08:23.520,39,ACQUIRE_VERIFY,ACQUIRE_VERIFY,168,2,1788502103406.679,66.148,timestamp_domain.system_time,4330171.000,125.000,1,4330187.000,4330218.000,31.000,47.000,4330218.000,47.000,1,1,pnp_visible_ransac,9,1.418,9.3436,-0.406499,4.496153,-5.1661
