recording,frame_before,frame_after,clip_before,clip_after,dt_sec,signed_jump_deg,abs_jump_deg,apparent_rate_deg_s,yaw_before_deg,yaw_after_deg,rms_before_px,rms_after_px
20260904_142318,223,224,29,30,0.07899999999995089,-51.85596100000001,51.85596100000001,656.4045696206614,7.286074,-44.569887,3.135863,1.015594
20260904_142318,224,225,30,31,0.06199999999989814,49.42426599999999,49.42426599999999,797.1655806464709,-44.569887,4.854379,1.015594,2.454837
20260901_174925,1504,1505,37,38,0.10900000000037835,-41.467085999999995,41.467085999999995,380.4319816500556,41.893806,0.42672,3.43796,3.925629
20260901_174925,1503,1504,36,37,0.09400000000096043,41.048788,41.048788,436.6892340380914,0.845018,41.893806,3.506827,3.43796
20260903_192254,425,426,363,364,0.07800000000133878,32.49073799999999,32.49073799999999,416.54792306977345,-38.252805,-5.762067,5.233375,1.422951
20260904_150944,280,281,102,103,0.14099999999962165,-22.253613,22.253613,157.827042553615,19.04769,-3.205923,2.316648,1.414797
20260904_150944,279,280,101,102,0.09400000000005093,22.232801999999992,22.232801999999992,236.51917021263773,-3.185112,19.04769,1.661222,2.316648
20260903_192254,430,431,368,369,0.0779999999977008,22.106259999999992,22.106259999999992,283.4135897519438,-20.72043,1.38583,1.546824,0.669229
20260903_192254,429,430,367,368,0.07800000000133878,-18.333913999999993,18.333913999999993,235.05017948314503,-2.386516,-20.72043,1.804962,1.546824
20260903_192254,372,373,310,311,0.06299999999828287,11.903076999999996,11.903076999999996,188.9377301638798,-0.896195,11.006882,2.467765,0.793042
20260901_174925,1501,1502,34,35,0.10899999999674037,10.147123999999991,10.147123999999991,93.0928807367288,-7.536646,2.610478,2.741973,4.837874
20260903_192254,407,408,345,346,0.06299999999828287,-9.888440000000003,9.888440000000003,156.9593650836432,2.476213,-7.412227,0.341662,4.099575
20260904_142318,226,227,32,33,0.09400000000005093,-7.980580000000003,7.980580000000003,84.89978723399659,9.587345,1.606765,3.689442,2.166175
20260903_192254,374,375,312,313,0.0779999999977008,-7.121701999999999,7.121701999999999,91.30387179756315,6.715902,-0.4058,0.520604,2.135641
20260901_174925,1500,1501,33,34,0.09400000000096043,-6.373673999999994,6.373673999999994,67.80504255249865,-1.162972,-7.536646,3.387451,2.741973
20260901_173507,1704,1705,147,148,0.10900000000037835,-5.294868000000008,5.294868000000008,48.576770642033296,-18.9486,-24.243468,2.124837,4.005841
