recording,step,direction,error_deg
forklift_v4_recording_20260901_173507,1,LEFT,-4.748603008516726
forklift_v4_recording_20260901_173507,6,RIGHT,-3.6909612447542157
forklift_v4_recording_20260901_173507,7,RIGHT,-10.35093184176469
forklift_v4_recording_20260901_173507,8,LEFT,-11.98203275456629
forklift_v4_recording_20260901_173507,9,RIGHT,-6.981525779069885
forklift_v4_recording_20260901_173507,10,LEFT,-4.917806668232875
forklift_v4_recording_20260901_173507,11,RIGHT,-4.306666931995386
forklift_v4_recording_20260901_174342,6,RIGHT,-7.377711611917331
forklift_v4_recording_20260901_174342,7,LEFT,15.804624736495954
forklift_v4_recording_20260901_174925,5,LEFT,-2.786787519943856
forklift_v4_recording_20260903_190743,2,RIGHT,-6.102600854506279
forklift_v4_recording_20260904_102504,4,RIGHT,-3.1566143638729285
forklift_v4_recording_20260904_103739,2,RIGHT,-6.853942418961311
forklift_v4_recording_20260904_103739,3,LEFT,-8.471342924560641
forklift_v4_recording_20260904_103739,4,RIGHT,-7.817717682663808
forklift_v4_recording_20260904_103739,5,LEFT,-9.830623606604618
forklift_v4_recording_20260904_103739,6,RIGHT,-8.678251775781078
forklift_v4_recording_20260904_103739,7,LEFT,-6.202976143799506
forklift_v4_recording_20260904_103739,8,RIGHT,-4.648426493350533
forklift_v4_recording_20260904_103739,9,LEFT,-6.154307249784845
forklift_v4_recording_20260904_104212,3,RIGHT,-12.55168358317178
forklift_v4_recording_20260904_104212,4,LEFT,-8.58731624365527
forklift_v4_recording_20260904_104212,5,RIGHT,-6.062822094031123
forklift_v4_recording_20260904_104212,6,LEFT,-8.247482288402345
forklift_v4_recording_20260904_105615,7,LEFT,-3.3811683111707107
forklift_v4_recording_20260904_105615,8,RIGHT,-0.8151489221874462
forklift_v4_recording_20260904_144733,3,LEFT,1.011618522109607
forklift_v4_recording_20260904_145924,2,RIGHT,-4.870042063447045
forklift_v4_recording_20260904_145924,4,RIGHT,-1.2150070425726516
forklift_v4_recording_20260904_150944,4,LEFT,-2.34062480953962
forklift_v4_recording_20260904_190446,3,RIGHT,-4.631552131491638
