recording,frames,valid_poses,valid_percent,adjacent_pairs,jumps_over_5deg,jumps_over_30deg,jumps_near_90deg,step_p95_deg,max_step_deg,rate_p95_deg_s,baseline_noise_p95_deg,pose_rms_p95_px,segments,drive_usable,inertia_usable,drive_exclusions
20260901_174925,58,58,100.0,57,4,2,0,7.128363999999977,41.467085999999995,72.86261018934457,0.06464877299999984,4.468547,1,1,1,{}
20260904_142318,84,84,100.0,83,3,2,0,3.3599805,51.85596100000001,43.28305708182677,0.5142531533999997,3.1340705,1,0,0,"{""vehicle was not stationary before command"": 1}"
20260903_192254,381,365,95.8,362,6,1,0,2.2074217000000065,32.49073799999999,27.326574114364217,0.5878170967200003,1.2473906000000006,7,0,0,"{""command duration is too short"": 1, ""too few valid inference frames"": 1, ""fewer than four pre-command frames"": 1, ""rotation direction cannot be inferred"": 1, ""sustained motion onset not detected before STOP"": 4}"
20260904_102630,65,65,100.0,48,0,0,0,3.2543047499999984,4.362865999999997,12.381887858459084,0.09123245816999914,1.5737918,4,0,0,"{""too few valid inference frames"": 1, ""sustained motion onset not detected before STOP"": 2, ""fewer than four pre-command frames"": 1}"
20260904_103429,46,46,100.0,43,0,0,0,2.4479766999999892,2.779906000000011,14.615734222660237,0.26715043529999993,1.95020075,2,0,0,"{""too few valid inference frames"": 1, ""sustained motion onset not detected before STOP"": 1}"
20260904_150944,138,138,100.0,135,2,0,0,2.0259028999999997,22.253613,16.32804032262272,0.13016175353999968,1.3852439,3,1,1,"{""too few command-held frames after onset"": 1, ""sustained motion onset not detected before STOP"": 1}"
20260903_192118,63,63,100.0,62,0,0,0,1.858479749999992,3.0147560000000055,32.76259365168658,,1.17641,1,0,0,"{""fewer than four pre-command frames"": 1}"
20260904_102504,93,92,98.92,89,0,0,0,1.7318520000000022,3.176027000000005,16.90436043333202,0.07112476979999842,1.4805405500000002,2,1,1,"{""fewer than four pre-command frames"": 1}"
20260904_104212,312,312,100.0,310,0,0,0,1.3949543500000103,3.3740530000000035,16.162962664962727,0.0931020538350004,3.0778149999999997,5,4,4,"{""fewer than four pre-command frames"": 1}"
20260901_173507,418,418,100.0,411,1,0,0,1.3840385000000026,5.294868000000008,14.069047872469541,0.15665032991999545,2.2994843499999997,7,7,7,{}
20260904_105508,55,55,100.0,54,0,0,0,1.3395235999999893,2.94761299999999,15.991034042553299,,0.7829841000000001,1,0,0,"{""fewer than four pre-command frames"": 1}"
20260901_174342,218,218,100.0,215,0,0,0,1.1959262999999958,3.198950999999994,12.132555016525137,0.10363136783999977,2.6823642999999993,3,2,2,"{""too few command-held frames after onset"": 1}"
20260904_144221,105,105,100.0,103,0,0,0,1.14774539999999,2.666681000000011,13.507653310614517,0.164319523200003,2.9449066,2,0,0,"{""fewer than four pre-command frames"": 1, ""vehicle was not stationary before command"": 1}"
20260904_103739,575,575,100.0,574,0,0,0,1.1425737500000142,1.9362930000000063,13.80529029536458,0.06023573997000301,0.882598,8,8,8,{}
20260904_144733,122,122,100.0,120,0,0,0,0.9384186499999996,2.2142550000000085,10.301322435900351,0.06772917102000053,2.52768805,2,1,1,"{""too few command-held frames after onset"": 1}"
20260904_145924,139,139,100.0,137,0,0,0,0.8349584000000101,1.8877709999999865,9.386953191484327,0.03955154259000275,3.2074081999999997,2,2,2,{}
20260903_190743,476,476,100.0,474,0,0,0,0.8280928500000101,1.4474539999999934,11.29628120872001,0.4027463626200001,0.93701575,8,1,1,"{""fewer than four pre-command frames"": 1, ""sustained motion onset not detected before STOP"": 5, ""rotation direction cannot be inferred"": 1}"
20260904_190446,213,213,100.0,209,0,0,0,0.8044350000000001,2.1080479999999966,9.800683540385844,0.23541167579999897,1.0250312,4,1,1,"{""fewer than four pre-command frames"": 1, ""sustained motion onset not detected before STOP"": 2}"
20260901_174126,104,104,100.0,102,0,0,0,0.6720100499999865,1.191361999999998,7.175642266716054,0.47225743351499977,1.288166,2,0,0,"{""vehicle was not stationary before command"": 1, ""sustained motion onset not detected before STOP"": 2, ""command duration is too short"": 1}"
20260904_105615,390,390,100.0,387,0,0,0,0.5127444999999934,1.1294499999999914,5.879941407526819,0.047658177000000294,1.5682455999999994,6,2,2,"{""sustained motion onset not detected before STOP"": 3, ""too few command-held frames after onset"": 1}"
20260904_105241,32,32,100.0,31,0,0,0,0.5119544999999874,1.065068999999994,4.2771919099246425,0.051616719000000054,1.132542,1,0,0,"{""sustained motion onset not detected before STOP"": 1}"
20260904_102339,17,17,100.0,16,0,0,0,0.41091624999999254,0.5329089999999894,3.8881641538469656,,1.3293422,1,0,0,"{""fewer than four pre-command frames"": 1}"
20260903_191906,59,0,0.0,0,0,0,0,,,,,,0,0,0,{}
