recording,step,command,movement,command_direction,command_strength,command_timestamp_source,cmd_write_start_s,cmd_write_return_s,cmd_sync_done_s,stop_write_start_s,stop_write_return_s,stop_sync_done_s,command_time_s,stop_time_s,command_duration_s,frame_time_source,sensor_timestamp_domain,sensor_to_host_scale,sensor_alignment_rmse_ms,median_range_m,baseline_angle_deg,baseline_noise_deg,baseline_rate_deg_s,observed_angle_sign,last_still_frame_i,last_still_host_mono_s,last_still_analysis_time_s,last_still_sensor_timestamp_ms,first_motion_frame_i,motion_host_mono_s,motion_analysis_time_s,motion_sensor_timestamp_ms,motion_onset_estimate_analysis_time_s,onset_interval_low_s,onset_interval_high_s,dead_time_observed_s,dead_time_estimated_s,onset_threshold_deg,onset_still_threshold_deg,stop_observation_frame_i,stop_observation_host_mono_s,stop_observation_analysis_time_s,stop_observation_sensor_timestamp_ms,stop_rate_observed_deg_s,angle_at_stop_observation_deg,inertia_frame_i,inertia_host_mono_s,inertia_analysis_time_s,inertia_sensor_timestamp_ms,angle_at_inertia_horizon_deg,inertia_rotation_deg,observed_total_rotation_deg,accel_end_frame_i,accel_end_host_mono_s,accel_end_analysis_time_s,accel_end_sensor_timestamp_ms,accel_end_censored,drive_usable,inertia_usable,exclude_reasons,inertia_exclude_reasons
forklift_v4_recording_20260901_173507,1,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20475.718,20475.718,20475.812,20477.25,20477.25,20477.25,20475.718,20477.25,1.5319999999992433,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000028658377345,16.90812730742922,4.451659880312504,-9.6904,0.0908848626000004,0.23698424949097,1.0,193,20476.718,20476.736587091113,1788251729074.505,194,20476.828,20476.836660375953,1788251729174.578,20476.786623733533,1.01858709111184,1.1186603759524587,1.1186603759524587,1.0686237335321493,0.3635394504000016,0.1817697252000008,198,20477.218,20477.237123681814,1788251729575.04,8.71361017335773,2.1556562756758777,218,20479.25,20479.238337424766,1788251731576.248,6.6063730000000005,4.450716724324122,6.6063730000000005,195,20476.906,20476.903306807184,1788251729241.224,False,True,True,,
forklift_v4_recording_20260901_173507,6,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20611.687,20611.687,20611.781,20613.234,20613.234,20613.234,20611.687,20613.234,1.5469999999986612,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000028658377345,16.90812730742922,2.297044489945524,-2.972753,0.10337576760000025,0.38189280343452603,-1.0,1552,20612.687,20612.699103933774,1788251865036.632,1553,20612.765,20612.79911203288,1788251865136.64,20612.749107983327,1.0121039337718685,1.1121120328789402,1.1121120328789402,1.0621079833254043,0.413503070400001,0.2067515352000005,1557,20613.187,20613.16651420884,1788251865504.041,4.263045848091273,1.2535536535292748,1577,20615.187,20615.1674799042,1788251867505.001,5.593559,4.3400053464707256,5.593559,1554,20612.875,20612.899372329975,1788251865236.9,False,True,True,,
forklift_v4_recording_20260901_173507,7,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20626.0,20626.0,20626.062,20627.968,20627.968,20627.968,20626.0,20627.968,1.9680000000007567,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000028658377345,16.90812730742922,2.315997936957258,-8.9561665,0.07671120659999972,-0.10608167831066942,-1.0,1696,20627.203,20627.209334482464,1788251879546.821,1697,20627.328,20627.276048540843,1788251879613.535,20627.242691511652,1.2093344824643282,1.276048540843476,1.276048540843476,1.2426915116520831,0.3068448263999989,0.15342241319999944,1703,20627.937,20627.943085608706,1788251880280.57,24.58090328682086,7.967757762456496,1723,20630.015,20630.01142552059,1788251882348.904,13.5116955,5.543937737543504,13.5116955,1698,20627.437,20627.442764106512,1788251879780.25,False,True,True,,
forklift_v4_recording_20260901_173507,8,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20641.671,20641.671,20641.781,20643.843,20643.843,20643.843,20641.671,20643.843,2.172000000002299,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000028658377345,16.90812730742922,2.3721265818661523,-22.924994500000004,0.17529817619999297,0.4466849635007307,1.0,1856,20643.281,20643.287378606274,1788251895624.819,1857,20643.39,20643.387399889012,1788251895724.84,20643.337389247645,1.6163786062752479,1.7163998890137009,1.7163998890137009,1.6663892476462934,0.7011927047999719,0.35059635239998593,1861,20643.812,20643.821148934796,1788251896158.588,5.667970553232669,9.815882826672635,1881,20645.859,20645.855770976614,1788251898193.204,15.752454000000002,5.936571173327367,15.752454000000002,1858,20643.484,20643.421889978086,1788251895759.33,False,True,True,,
forklift_v4_recording_20260901_173507,9,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20655.468,20655.468,20655.562,20657.468,20657.468,20657.468,20655.468,20657.468,2.0,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000028658377345,16.90812730742922,2.3059196702641556,-7.217611,0.11313868860000134,-0.19333718910858905,-1.0,1990,20656.64,20656.630281834994,1788251908967.684,1991,20656.734,20656.73005995297,1788251909067.462,20656.680170893982,1.1622818349933368,1.262059952969139,1.262059952969139,1.212170893981238,0.45255475440000537,0.22627737720000268,1998,20657.437,20657.46390824746,1788251909801.308,12.233724967255847,4.794612950995852,2018,20659.484,20659.498753922733,1788251911836.148,10.237922,5.443309049004148,10.237922,1992,20656.828,20656.83018133365,1788251909167.583,False,True,True,,
forklift_v4_recording_20260901_173507,10,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20667.5,20667.5,20667.593,20669.421,20669.421,20669.421,20667.5,20669.421,1.9209999999984575,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000028658377345,16.90812730742922,2.298087630731713,-17.383806,0.1121053164000024,-0.19768007067288454,1.0,2109,20668.656,20668.638804286482,1788251920976.172,2110,20668.765,20668.771962627074,1788251921109.33,20668.705383456778,1.1388042864819,1.2719626270736626,1.2719626270736626,1.2053834567777812,0.4484212656000096,0.2242106328000048,2116,20669.39,20669.405726406225,1788251921743.092,11.433084361074,4.244804653012321,2136,20671.359,20671.373919058446,1788251923711.279,7.93811,3.693305346987679,7.93811,2111,20668.859,20668.871961937093,1788251921209.329,False,True,True,,
forklift_v4_recording_20260901_173507,11,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20691.859,20691.859,20691.937,20693.765,20693.765,20693.765,20691.859,20693.765,1.9059999999990396,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000028658377345,16.90812730742922,2.3057118481458225,-9.56256,0.08204708400000156,-0.18584011149045215,-1.0,2353,20693.015,20693.022362935135,1788251945359.661,2354,20693.125,20693.122408387862,1788251945459.706,20693.0723856615,1.1633629351345007,1.2634083878620004,1.2634083878620004,1.2133856615000695,0.32818833600000624,0.16409416800000312,2360,20693.734,20693.756291063837,1788251946093.587,11.409878555064555,3.5840553361830674,2380,20695.734,20695.72418488708,1788251948061.475,7.282142500000001,3.6980871638169335,7.282142500000001,2355,20693.234,20693.222452619884,1788251945559.75,False,True,True,,
forklift_v4_recording_20260901_174126,0,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20885.953,20885.953,20886.031,20887.203,20887.203,20887.203,20885.953,20887.203,1.25,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,0.9998506472899719,17.360613207647226,4.639015765129292,-13.202845,0.48311410559999984,1.291625911015828,1.0,,,,,,,,,,,,,,1.9324564223999994,,,,,,,,,,,,,,,,,,,True,False,False,vehicle was not stationary before command; sustained motion onset not detected before STOP,motion onset unavailable
forklift_v4_recording_20260901_174126,0,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20900.375,20900.375,20900.468,20900.468,20900.468,20900.468,20900.375,20900.468,0.0930000000007567,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,0.9998506472899719,17.360613207647226,4.629035353931379,-13.408046500000001,0.26598066389999864,0.6734338668478991,-1.0,,,,,,,,,,,,,,1.0639226555999945,,,,,,,,,,,,,,,,,,,True,False,False,command duration is too short; sustained motion onset not detected before STOP,motion onset unavailable
forklift_v4_recording_20260901_174342,6,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,21129.421,21129.421,21129.515,21131.25,21131.25,21131.25,21129.421,21131.25,1.8290000000015425,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,0.9999965401727664,15.602334382147523,2.0779989536405443,-7.659827999999999,0.10743735029999978,0.2738564604071417,-1.0,1608,21130.515,21130.52896439135,1788252382868.065,1609,21130.625,21130.62896111569,1788252382968.062,21130.57896275352,1.1079643913508335,1.2079611156914325,1.2079611156914325,1.157962753521133,0.4297494011999991,0.21487470059999955,1615,21131.234,21131.22956206505,1788252383568.665,11.401649177474336,4.126881289918903,1635,21133.218,21133.23112911456,1788252385570.239,12.3438935,8.217012210081098,12.3438935,1610,21130.718,21130.729140700725,1788252383068.242,False,True,True,,
