frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
130,-0.853615,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21315160,3.41122198,pnp_visible_ransac,9,1.003632,9,0,
131,-0.908054,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21204893,3.40586567,pnp_visible_ransac,9,1.052150,9,1,
132,-0.773201,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21403092,3.42232466,pnp_visible_ransac,9,0.993102,9,2,
133,-0.869397,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21259527,3.41819406,pnp_visible_ransac,9,0.945035,9,3,
134,-0.898467,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21240269,3.42127848,pnp_visible_ransac,9,0.917841,9,4,
135,-0.789562,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21300480,3.41658139,pnp_visible_ransac,9,0.903494,9,5,
136,-0.798324,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21287861,3.41741514,pnp_visible_ransac,9,0.912982,9,6,
137,-0.917178,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21178019,3.41198587,pnp_visible_ransac,9,0.919361,9,7,
138,-0.870948,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21278055,3.41854858,pnp_visible_ransac,9,0.876374,9,8,
139,-0.823102,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21286863,3.41829038,pnp_visible_ransac,9,0.888818,9,9,
140,-0.831544,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21315199,3.42306089,pnp_visible_ransac,9,0.845228,9,10,
141,-0.898674,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21109796,3.40791035,pnp_visible_ransac,9,0.883779,9,11,
142,-0.847968,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21261720,3.42275858,pnp_visible_ransac,9,0.852090,9,12,
143,-0.821750,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21213175,3.41920781,pnp_visible_ransac,9,0.882953,9,13,
144,-0.876724,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21457097,3.41947460,pnp_visible_ransac,9,1.069833,9,14,
145,-0.989946,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21274985,3.40995979,pnp_visible_ransac,9,1.059922,9,15,
146,-1.035195,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21115221,3.39616323,pnp_visible_ransac,9,1.061998,9,16,
147,-0.953288,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21095547,3.39751482,pnp_visible_ransac,9,1.074118,9,17,
148,-0.727223,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21378799,3.41661501,pnp_visible_ransac,9,1.049817,9,18,
149,-0.682434,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21435867,3.41901827,pnp_visible_ransac,9,1.017855,9,19,
150,-0.782704,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21315728,3.40870643,pnp_visible_ransac,9,1.048036,9,20,
151,-0.718477,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21270202,3.41171312,pnp_visible_ransac,9,1.079249,9,21,
152,-0.744065,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.21301748,3.40756178,pnp_visible_ransac,9,1.122969,9,22,
153,-1.112603,1,1,0.959961,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.20497429,3.39124799,pnp_visible_ransac,9,1.301729,9,23,
154,-0.649232,1,1,0.961914,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.20095077,3.43633556,pnp_visible_ransac,9,1.398827,9,24,
155,-0.774611,1,1,0.962891,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.19381107,3.43115401,pnp_visible_ransac,9,1.456653,9,25,
156,-0.117875,1,1,0.933105,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.18870023,3.45603156,pnp_visible_ransac,9,1.397115,9,26,
157,-1.449684,1,1,0.961426,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.14377184,3.41076398,pnp_visible_ransac,9,1.146693,9,27,
158,0.208589,1,1,0.953125,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.09901839,3.44348359,pnp_visible_ransac,9,0.922205,9,28,
159,0.962107,1,1,0.955078,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,-0.06175962,3.45910549,pnp_visible_ransac,9,0.763347,9,29,
160,2.973216,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,0.06974228,3.44901228,pnp_visible_ransac,9,0.734743,9,30,
161,4.503342,1,1,0.965332,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,0.17080329,3.46101499,pnp_visible_ransac,9,1.373778,9,31,
162,6.030854,1,1,0.958008,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,0.26717910,3.42207861,pnp_visible_ransac,9,0.669717,9,32,
163,6.228568,1,1,0.957520,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,heading,pnp_face_orientation,1,0.26524326,3.44086385,pnp_visible_ransac,9,0.679584,9,33,
