recording,step,direction,model_hash,command_start_host_s,command_stop_host_s,command_start_iso,command_stop_iso,command_duration_s,start_angle_deg,end_angle_deg,signed_rotation_deg,rotation_magnitude_deg,endpoint_noise_scale_deg,start_first_frame_i,start_last_frame_i,end_first_frame_i,end_last_frame_i,end_observation_after_stop_s,accepted,exclusion_reasons
forklift_v4_recording_20260901_173507,1,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,20475.718,20477.25,2026-09-01T17:35:28.080,2026-09-01T17:35:29.605,1.5319999999992433,-9.6904,-3.2057884999999997,6.4846115,6.4846115,0.13576673761922575,173,183,215,224,2.622154182583472,True,
forklift_v4_recording_20260901_173507,6,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,20611.687,20613.234,2026-09-01T17:37:44.051,2026-09-01T17:37:45.585,1.5469999999986612,-2.972753,-8.643549,-5.670795999999996,5.670795999999996,0.1601683967408101,1534,1542,1575,1584,2.6672891360794893,True,
forklift_v4_recording_20260901_173507,7,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,20626.0,20627.968,2026-09-01T17:37:58.366,2026-09-01T17:38:00.326,1.9680000000007567,-8.9561665,-22.547586,-13.5914195,13.5914195,0.20923622203757034,1675,1684,1719,1729,2.64372313937929,True,
forklift_v4_recording_20260901_173507,8,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,20641.671,20643.843,2026-09-01T17:38:14.028,2026-09-01T17:38:16.198,2.172000000002299,-22.924994500000004,-7.172540500000001,15.752454,15.752454,0.2341970761870569,1831,1840,1878,1887,2.6133176195507986,True,
forklift_v4_recording_20260901_173507,9,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,20655.468,20657.468,2026-09-01T17:38:27.820,2026-09-01T17:38:29.829,2.0,-7.217611,-17.479887499999997,-10.262276499999984,10.262276499999984,0.1335193064695594,1969,1978,2015,2024,2.631117703818745,True,
forklift_v4_recording_20260901_173507,10,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,20667.5,20669.421,2026-09-01T17:38:39.864,2026-09-01T17:38:41.776,1.9209999999984575,-17.383806,-9.575661,7.808144999999996,7.808144999999996,0.14827844681455263,2088,2098,2133,2143,2.6533290246879915,True,
forklift_v4_recording_20260901_173507,11,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,20691.859,20693.765,2026-09-01T17:39:04.218,2026-09-01T17:39:06.120,1.9059999999990396,-9.56256,-16.8014885,-7.238928500000014,7.238928500000014,0.1348264897895739,2332,2342,2378,2387,2.659770879214193,True,
forklift_v4_recording_20260901_174342,6,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,21129.421,21131.25,2026-09-01T17:46:21.784,2026-09-01T17:46:23.612,1.8290000000015425,-7.659827999999999,-19.8463405,-12.186512499999992,12.186512499999992,0.18200852200653891,1588,1597,1633,1642,2.681337629452173,True,
forklift_v4_recording_20260901_174342,7,LEFT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,21145.25,21150.906,2026-09-01T17:46:37.613,2026-09-01T17:46:43.265,5.65599999999904,-19.8370825,-5.148828,14.6882545,14.6882545,0.13843981904572802,1747,1756,1831,1840,2.6057750112413487,True,
forklift_v4_recording_20260901_174342,8,RIGHT,sha256:35033fa0137084da6fa1814e1d16daf5a96fcd053e46dd045f672e9289f0d96c,21169.234,21170.75,2026-09-01T17:47:01.596,2026-09-01T17:47:03.107,1.5159999999996217,-5.2398875,-9.113789,-3.873901499999988,3.873901499999988,0.08779921231792426,1992,2001,2033,2043,2.6756531339087815,True,
