recording,frames,valid_poses,jumps_over_5deg,jumps_over_30deg
20260901_173507,418,417,0,0
20260901_174126,104,104,0,0
20260901_174342,218,217,3,0
20260901_174925,58,58,0,0
20260903_190743,476,476,0,0
20260903_191906,59,0,0,0
20260903_192118,63,63,2,0
20260903_192254,381,369,1,0
20260904_102339,17,17,0,0
20260904_102504,93,93,0,0
20260904_102630,65,64,0,0
20260904_103429,46,46,0,0
20260904_103739,575,544,0,0
20260904_104212,312,312,0,0
20260904_105241,32,32,0,0
20260904_105508,55,55,0,0
20260904_105615,390,329,0,0
20260904_142318,84,84,0,0
20260904_144221,105,105,0,0
20260904_144733,122,122,0,0
20260904_145924,139,138,0,0
20260904_150944,138,128,0,0
20260904_190446,213,212,0,0
