frame_i,yaw_deg,pose_ok,valid,confidence,model_hash,angle_domain,angle_source,model_det_ok,pos_x_m,pos_z_m,pose_src,pose_n_used,pose_rms_px,keypoint_count,video_frame_i,failure_reason
130,-1.452213,1,1,0.947266,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19363363,3.43634963,pnp_visible_ransac,9,0.553268,9,0,
131,-1.480224,1,1,0.947754,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19339092,3.43686342,pnp_visible_ransac,9,0.530175,9,1,
132,-1.446559,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19352953,3.43789887,pnp_visible_ransac,9,0.539056,9,2,
133,-1.446559,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19352953,3.43789887,pnp_visible_ransac,9,0.539056,9,3,
134,-1.509236,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19353651,3.44049120,pnp_visible_ransac,9,0.590446,9,4,
135,-1.487529,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19301210,3.43781638,pnp_visible_ransac,9,0.582997,9,5,
136,-1.353708,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19392672,3.43738723,pnp_visible_ransac,9,0.590449,9,6,
137,-1.369930,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19385713,3.43680716,pnp_visible_ransac,9,0.582507,9,7,
138,-1.392016,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19314888,3.43638897,pnp_visible_ransac,9,0.555307,9,8,
139,-1.444359,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19369134,3.44050026,pnp_visible_ransac,9,0.614441,9,9,
140,-1.401701,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19385655,3.43810654,pnp_visible_ransac,9,0.601183,9,10,
141,-1.440001,1,1,0.946777,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19307849,3.43710542,pnp_visible_ransac,9,0.566573,9,11,
142,-1.353708,1,1,0.946777,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19392672,3.43738723,pnp_visible_ransac,9,0.590449,9,12,
143,-1.322851,1,1,0.946289,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19392051,3.43611622,pnp_visible_ransac,9,0.552658,9,13,
144,-1.402845,1,1,0.946777,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19318847,3.43026781,pnp_visible_ransac,9,0.471655,9,14,
145,-1.477853,1,1,0.946777,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19301571,3.43394256,pnp_visible_ransac,9,0.514866,9,15,
146,-1.479059,1,1,0.946777,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19298975,3.43362737,pnp_visible_ransac,9,0.501253,9,16,
147,-1.386075,1,1,0.946777,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,heading,pnp_face_orientation,1,-0.19328214,3.43119454,pnp_visible_ransac,9,0.503871,9,17,
