recording,step,command,movement,command_direction,command_strength,command_timestamp_source,cmd_write_start_s,cmd_write_return_s,cmd_sync_done_s,stop_write_start_s,stop_write_return_s,stop_sync_done_s,command_time_s,stop_time_s,command_duration_s,frame_time_source,sensor_timestamp_domain,sensor_to_host_scale,sensor_alignment_rmse_ms,median_range_m,baseline_angle_deg,baseline_noise_deg,baseline_rate_deg_s,observed_angle_sign,last_still_frame_i,last_still_host_mono_s,last_still_analysis_time_s,last_still_sensor_timestamp_ms,first_motion_frame_i,motion_host_mono_s,motion_analysis_time_s,motion_sensor_timestamp_ms,motion_onset_estimate_analysis_time_s,onset_interval_low_s,onset_interval_high_s,dead_time_observed_s,dead_time_estimated_s,onset_threshold_deg,onset_still_threshold_deg,stop_observation_frame_i,stop_observation_host_mono_s,stop_observation_analysis_time_s,stop_observation_sensor_timestamp_ms,stop_rate_observed_deg_s,angle_at_stop_observation_deg,inertia_frame_i,inertia_host_mono_s,inertia_analysis_time_s,inertia_sensor_timestamp_ms,angle_at_inertia_horizon_deg,inertia_rotation_deg,observed_total_rotation_deg,accel_end_frame_i,accel_end_host_mono_s,accel_end_analysis_time_s,accel_end_sensor_timestamp_ms,accel_end_censored,drive_usable,inertia_usable,exclude_reasons,inertia_exclude_reasons
forklift_v4_recording_20260901_173507,1,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20475.718,20475.718,20475.812,20477.25,20477.25,20477.25,20475.718,20477.25,1.5319999999992433,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000027290045264,16.928130407518555,4.525076743938651,-10.438781,0.02970092579999962,0.30605919248765706,1.0,179,20475.296,20475.302158053528,1788251727640.075,184,20475.796,20475.80262157749,1788251728140.537,20475.760310788748,0.0,0.08462157749090693,0.08462157749090693,0.042310788747272454,0.2,0.05940185159999924,198,20477.218,20477.237128421944,1788251729575.04,8.515755389332908,2.403946952422579,218,20479.25,20479.238341891065,1788251731576.248,5.647191,3.2432440475774214,5.647191,,,,,True,False,False,onset is interval-censored by a 0.500s frame gap,
forklift_v4_recording_20260901_173507,6,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20611.687,20611.687,20611.781,20613.234,20613.234,20613.234,20611.687,20613.234,1.5469999999986612,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000027290045264,16.928130407518555,2.301251677876973,-4.147122,0.14286333599999967,0.3647101497512676,-1.0,1555,20612.984,20612.999439834864,1788251865336.981,1556,20613.078,20613.065823072666,1788251865403.364,20613.032631453767,1.3124398348627437,1.3788230726640904,1.3788230726640904,1.345631453765236,0.5714533439999987,0.28572667199999935,1557,20613.187,20613.166500349365,1788251865504.041,2.097551655004654,0.599488466093112,1577,20615.187,20615.167465770934,1788251867505.001,5.0739564999999995,4.474468033906888,5.0739564999999995,,,,,True,False,False,too few command-held frames after onset,
forklift_v4_recording_20260901_173507,7,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20626.0,20626.0,20626.062,20627.968,20627.968,20627.968,20626.0,20627.968,1.9680000000007567,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000027290045264,16.928130407518555,2.306350388394775,-9.4899495,0.04525933020000028,0.02475529808781654,-1.0,1696,20627.203,20627.209318701473,1788251879546.821,1697,20627.328,20627.276032750724,1788251879613.535,20627.2426757261,1.2093187014725117,1.2760327507239708,1.2760327507239708,1.2426757260982413,0.2,0.09051866040000056,1703,20627.937,20627.943069727316,1788251880280.57,24.410395416339,7.53604896028287,1723,20630.015,20630.011409356182,1788251882348.904,8.700359,1.1643100397171304,8.700359,,,,,True,True,True,,
forklift_v4_recording_20260901_173507,8,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20641.671,20641.671,20641.781,20643.843,20643.843,20643.843,20641.671,20643.843,2.172000000002299,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000027290045264,16.928130407518555,2.2940993628973434,-21.762529,0.8710378782000006,5.765241025585121,1.0,1855,20643.187,20643.187195312865,1788251895524.654,1856,20643.281,20643.28736062528,1788251895624.819,20643.23727796907,1.51619531286633,1.6163606252812315,1.6163606252812315,1.5662779690719617,3.4841515128000022,1.7420757564000011,1861,20643.812,20643.821130880762,1788251896158.588,10.445826856954753,7.902479749547851,1881,20645.859,20645.85575264418,1788251898193.204,13.8323715,5.92989175045215,13.8323715,,,,,True,False,False,vehicle was not stationary before command,
forklift_v4_recording_20260901_173507,9,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20655.468,20655.468,20655.562,20657.468,20657.468,20657.468,20655.468,20657.468,2.0,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000027290045264,16.928130407518555,2.3031476487248304,-8.20628,0.04797619470000014,-0.10606854111059567,-1.0,1990,20656.64,20656.63026202825,1788251908967.684,1992,20656.828,20656.830161499558,1788251909167.583,20656.730211763905,1.1622620282505522,1.36216149955726,1.36216149955726,1.262211763903906,0.2,0.09595238940000028,1998,20657.437,20657.463888326653,1788251909801.308,11.350006605029657,4.188788277643194,2018,20659.484,20659.49873372349,1788251911836.148,9.233915,5.045126722356805,9.233915,,,,,True,True,True,,
forklift_v4_recording_20260901_173507,10,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20667.5,20667.5,20667.593,20669.421,20669.421,20669.421,20667.5,20669.421,1.9209999999984575,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000027290045264,16.928130407518555,2.298651810522842,-17.490317,0.055483339800000635,-0.1430935425938004,1.0,2109,20668.656,20668.63878283658,1788251920976.172,2110,20668.765,20668.771941158953,1788251921109.33,20668.705361997767,1.1387828365805035,1.2719411589532683,1.2719411589532683,1.205361997766886,0.22193335920000254,0.11096667960000127,2116,20669.39,20669.405704851382,1788251921743.092,11.199557753360821,3.817449279644354,2136,20671.359,20671.37389723429,1788251923711.279,7.5514335,3.7339842203556457,7.5514335,,,,,True,True,True,,
forklift_v4_recording_20260901_173507,11,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20691.859,20691.859,20691.937,20693.765,20693.765,20693.765,20691.859,20693.765,1.9059999999990396,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000027290045264,16.928130407518555,2.297466261558703,-10.098766,0.1362746616000018,-0.13190178665725905,-1.0,2353,20693.015,20693.022338148763,1788251945359.661,2354,20693.125,20693.1223835878,1788251945459.706,20693.072360868282,1.1633381487627048,1.2633835878004902,1.2633835878004902,1.2133608682815975,0.5450986464000072,0.2725493232000036,2360,20693.734,20693.75626617704,1788251946093.587,11.949893616569307,3.3376669197592292,2380,20695.734,20695.72415973101,1788251948061.475,6.625223000000002,3.2875560802407726,6.625223000000002,,,,,True,True,True,,
forklift_v4_recording_20260901_174342,6,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,21129.421,21129.421,21129.515,21131.25,21131.25,21131.25,21129.421,21131.25,1.8290000000015425,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,0.9999978360452171,15.622454791891448,2.0681573401174767,-7.4209245,0.0928515315000014,-0.15634248994555847,-1.0,1607,21130.421,21130.395620168805,1788252382734.817,1608,21130.515,21130.528867927336,1788252382868.065,21130.46224404807,0.9746201688067231,1.107867927337793,1.107867927337793,1.041244048072258,0.3714061260000056,0.1857030630000028,1615,21131.234,21131.229466508925,1788252383568.665,11.531675568733563,4.82717768595249,1635,21133.218,21133.23103615222,1788252385570.239,7.941263500000001,3.1140858140475105,7.941263500000001,,,,,True,True,True,,
forklift_v4_recording_20260901_174342,8,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,21169.234,21169.234,21169.312,21170.75,21170.75,21170.75,21169.234,21170.75,1.5159999999996217,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,0.9999978360452171,15.622454791891448,2.040006623339389,-5.170971,0.05703784589999999,-0.014195492124463398,-1.0,2011,21170.234,21170.223436082633,1788252422562.719,2012,21170.328,21170.32346491891,1788252422662.748,21170.273450500772,0.9894360826328921,1.0894649189103802,1.0894649189103802,1.0394505007716361,0.22815138359999995,0.11407569179999998,2016,21170.718,21170.724247010618,1788252423063.531,2.4670041373748375,1.2035992487238065,2036,21172.765,21172.725160649472,1788252425064.449,3.7614345,2.5578352512761935,3.7614345,,,,,True,True,True,,
forklift_v4_recording_20260903_192118,1,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,28016.031,28016.031,28016.093,28018.359,28018.359,28018.359,28016.031,28018.359,2.3280000000013388,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0010289790776103,17.644611858154697,6.226296961534944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,fewer than four pre-command frames,baseline unavailable
