recording,step,direction,model_hash,command_start_host_s,command_stop_host_s,command_start_iso,command_stop_iso,command_duration_s,start_angle_deg,end_angle_deg,signed_rotation_deg,rotation_magnitude_deg,endpoint_noise_scale_deg,start_first_frame_i,start_last_frame_i,end_first_frame_i,end_last_frame_i,end_observation_after_stop_s,accepted,exclusion_reasons
forklift_v4_recording_20260901_173507,1,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20475.718,20477.25,2026-09-01T17:35:28.080,2026-09-01T17:35:29.605,1.5319999999992433,-10.438781,-4.832371,5.606410000000011,5.606410000000011,0.0962668862387812,173,183,215,224,2.622158562153345,True,
forklift_v4_recording_20260901_173507,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20611.687,20613.234,2026-09-01T17:37:44.051,2026-09-01T17:37:45.585,1.5469999999986612,-4.147122,-9.256082,-5.108959999999996,5.108959999999996,0.181179234728547,1534,1542,1575,1584,2.667274902403733,True,
forklift_v4_recording_20260901_173507,7,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20626.0,20627.968,2026-09-01T17:37:58.366,2026-09-01T17:38:00.326,1.9680000000007567,-9.4899495,-18.232011,-8.742061500000005,8.742061500000005,0.15913714126037762,1675,1684,1719,1729,2.6437068928316876,False,post_yaw_rate_above_1deg_s; post_yaw_step_above_2deg; post_position_rate_above_0.05m_s
forklift_v4_recording_20260901_173507,8,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20641.671,20643.843,2026-09-01T17:38:14.028,2026-09-01T17:38:16.198,2.172000000002299,-21.762529,-7.963233000000001,13.799295999999998,13.799295999999998,0.876473481393974,1831,1840,1878,1887,2.61329920494245,False,pre_yaw_rate_above_1deg_s; pre_yaw_noise_above_0.5deg; pre_yaw_p90_p10_above_1.5deg; pre_yaw_step_above_2deg; pre_position_rate_above_0.05m_s
forklift_v4_recording_20260901_173507,9,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20655.468,20657.468,2026-09-01T17:38:27.820,2026-09-01T17:38:29.829,2.0,-8.20628,-17.4726635,-9.26638349999999,9.26638349999999,0.08131279389304978,1969,1978,2015,2024,2.6310974224252277,True,
forklift_v4_recording_20260901_173507,10,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20667.5,20669.421,2026-09-01T17:38:39.864,2026-09-01T17:38:41.776,1.9209999999984575,-17.490317,-10.078433,7.411883999999986,7.411883999999986,0.14610872797029553,2088,2098,2133,2143,2.6533071046942496,True,
forklift_v4_recording_20260901_173507,11,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20691.859,20693.765,2026-09-01T17:39:04.218,2026-09-01T17:39:06.120,1.9059999999990396,-10.098766,-16.723989000000003,-6.625223000000005,6.625223000000005,0.15477349623635644,2332,2342,2378,2387,2.659745627282973,True,
forklift_v4_recording_20260901_174342,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,21129.421,21131.25,2026-09-01T17:46:21.784,2026-09-01T17:46:23.612,1.8290000000015425,-7.4209245,-15.29898,-7.878055499999988,7.878055499999988,0.14848003548595995,1588,1597,1633,1642,2.681245574494824,True,
forklift_v4_recording_20260901_174342,7,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,21145.25,21150.906,2026-09-01T17:46:37.613,2026-09-01T17:46:43.265,5.65599999999904,-15.601344,-5.060900999999999,10.54044300000001,10.54044300000001,0.22485536921251348,1747,1755,1831,1840,2.605708330120251,False,pre_yaw_rate_above_1deg_s; pre_yaw_p90_p10_above_1.5deg; pre_yaw_step_above_2deg; pre_position_rate_above_0.05m_s
forklift_v4_recording_20260901_174342,8,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,21169.234,21170.75,2026-09-01T17:47:01.596,2026-09-01T17:47:03.107,1.5159999999996217,-5.170971,-8.970779,-3.799808000000013,3.799808000000013,0.10419321739243953,1992,2001,2033,2043,2.6756122587248683,True,
forklift_v4_recording_20260903_192118,1,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,28016.031,28018.359,2026-09-03T19:21:22.367,2026-09-03T19:21:24.703,2.3280000000013388,,,,,,,,,,,False,pre_fewer_than_5_valid_frames; post_yaw_noise_above_0.5deg; post_yaw_p90_p10_above_1.5deg; post_yaw_step_above_2deg
forklift_v4_recording_20260904_102504,1,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,647.656,649.39,2026-09-04T10:25:08.990,2026-09-04T10:25:10.738,1.7340000000000373,,,,,,,,,,,False,pre_fewer_than_5_valid_frames
