recording,step,direction,model_hash,command_start_host_s,command_stop_host_s,command_start_iso,command_stop_iso,command_duration_s,start_angle_deg,end_angle_deg,signed_rotation_deg,rotation_magnitude_deg,endpoint_noise_scale_deg,start_first_frame_i,start_last_frame_i,end_first_frame_i,end_last_frame_i,end_observation_after_stop_s,accepted,exclusion_reasons
forklift_v4_recording_20260901_173507,1,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20475.718,20477.25,2026-09-01T17:35:28.080,2026-09-01T17:35:29.605,1.5319999999992433,-10.438781,-4.832371,5.606410000000011,5.606410000000011,0.0962668862387812,173,183,215,224,2.622158562153345,True,
forklift_v4_recording_20260901_173507,6,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20611.687,20613.234,2026-09-01T17:37:44.051,2026-09-01T17:37:45.585,1.5469999999986612,-4.147122,-9.256082,-5.108959999999996,5.108959999999996,0.181179234728547,1534,1542,1575,1584,2.667274902403733,True,
forklift_v4_recording_20260901_173507,9,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20655.468,20657.468,2026-09-01T17:38:27.820,2026-09-01T17:38:29.829,2.0,-8.20628,-17.4726635,-9.26638349999999,9.26638349999999,0.08131279389304978,1969,1978,2015,2024,2.6310974224252277,True,
forklift_v4_recording_20260901_173507,10,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20667.5,20669.421,2026-09-01T17:38:39.864,2026-09-01T17:38:41.776,1.9209999999984575,-17.490317,-10.078433,7.411883999999986,7.411883999999986,0.14610872797029553,2088,2098,2133,2143,2.6533071046942496,True,
forklift_v4_recording_20260901_173507,11,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20691.859,20693.765,2026-09-01T17:39:04.218,2026-09-01T17:39:06.120,1.9059999999990396,-10.098766,-16.723989000000003,-6.625223000000005,6.625223000000005,0.15477349623635644,2332,2342,2378,2387,2.659745627282973,True,
forklift_v4_recording_20260901_174126,0,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,20900.375,20900.468,2026-09-01T17:42:32.736,2026-09-01T17:42:32.827,0.0930000000007567,-11.3221635,-11.964218,-0.6420545000000004,0.6420545000000004,0.5249419886004779,649,660,680,690,2.615773714020179,True,
forklift_v4_recording_20260901_174925,5,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,21459.203,21460.687,2026-09-01T17:51:51.553,2026-09-01T17:51:53.051,1.4840000000003783,-4.8858695,1.039641,5.9255105000000015,5.9255105000000015,0.1569433277587836,1473,1482,1514,1524,2.6043686277880624,True,
forklift_v4_recording_20260903_190743,2,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,27204.875,27206.875,2026-09-03T19:07:51.212,2026-09-03T19:07:53.223,2.0,-6.196284,-16.348561,-10.152276999999998,10.152276999999998,0.29263343193877156,78,92,143,155,2.691276479672524,True,
forklift_v4_recording_20260903_190743,3,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,27210.562,27211.343,2026-09-03T19:07:56.905,2026-09-03T19:07:57.686,0.7809999999990396,-16.601163,-16.291784,0.30937900000000695,0.30937900000000695,0.5247215768822042,155,167,196,208,2.6266504943123437,True,
forklift_v4_recording_20260903_190743,4,LEFT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,27214.984,27216.468,2026-09-03T19:08:01.331,2026-09-03T19:08:02.806,1.4840000000003783,-16.3131555,-13.700356,2.612799499999994,2.612799499999994,0.3194528017051398,209,220,259,271,2.6724984897919057,True,
forklift_v4_recording_20260903_190743,7,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,27231.765,27232.546,2026-09-03T19:08:18.112,2026-09-03T19:08:18.894,0.7809999999990396,-14.327687000000001,-14.221810999999999,0.10587599999999497,0.10587599999999497,0.30445375211229075,414,428,459,472,2.6400765567523194,True,
forklift_v4_recording_20260903_190743,8,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,27235.859,27236.718,2026-09-03T19:08:22.198,2026-09-03T19:08:23.051,0.8590000000003783,-14.316657,-14.364374,-0.04771700000000578,0.04771700000000578,0.3559284542612292,468,482,517,531,2.6713252853915037,True,
forklift_v4_recording_20260903_190743,9,RIGHT,sha256:4ee578e02810caae56b786c23a084121f4dfb33941e11d4d3fb216b9bfbbe60e,27240.093,27240.828,2026-09-03T19:08:26.436,2026-09-03T19:08:27.162,0.7350000000005821,-14.145654000000002,-14.204846499999999,-0.05919249999999465,0.05919249999999465,0.3277703425761164,527,541,575,586,2.697730077037704,True,
