t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg,raw_video_frame_index,source_raw_video_frame_index
2026-09-01T17:41:29.913,1,PRECHECK,PRECHECK,3,,1788252088378.647,,timestamp_domain.system_time,20836140.000,,1,20836140.000,20837562.000,1422.000,1422.000,20837562.000,1422.000,0,0,,,,,,
2026-09-01T17:41:30.196,2,PRECHECK,PRECHECK,56,53,1788252090145.029,1766.382,timestamp_domain.system_time,20837812.000,1672.000,1,20837828.000,20837843.000,15.000,31.000,20837843.000,31.000,0,0,,,,,,
2026-09-01T17:41:30.298,3,PRECHECK,PRECHECK,60,4,1788252090277.839,132.810,timestamp_domain.system_time,20837937.000,125.000,1,20837937.000,20837937.000,0.000,0.000,20837937.000,0.000,0,0,,,,,,
2026-09-01T17:41:30.409,4,PRECHECK,PRECHECK,63,3,1788252090377.878,100.040,timestamp_domain.system_time,20838031.000,94.000,1,20838031.000,20838046.000,15.000,15.000,20838046.000,15.000,0,0,,,,,,
2026-09-01T17:41:30.522,5,PRECHECK,PRECHECK,65,2,1788252090445.125,67.247,timestamp_domain.system_time,20838140.000,109.000,1,20838140.000,20838171.000,31.000,31.000,20838171.000,31.000,0,0,,,,,,
2026-09-01T17:41:30.632,6,PRECHECK,PRECHECK,69,4,1788252090577.988,132.862,timestamp_domain.system_time,20838234.000,94.000,1,20838234.000,20838281.000,47.000,47.000,20838281.000,47.000,0,0,,,,,,
2026-09-01T17:41:30.714,7,PRECHECK,PRECHECK,72,3,1788252090677.872,99.884,timestamp_domain.system_time,20838328.000,94.000,1,20838328.000,20838359.000,31.000,31.000,20838359.000,31.000,0,0,,,,,,
2026-09-01T17:41:30.800,8,PRECHECK,PRECHECK,74,2,1788252090744.738,66.866,timestamp_domain.system_time,20838421.000,93.000,1,20838421.000,20838437.000,16.000,16.000,20838437.000,16.000,0,0,,,,,,
2026-09-01T17:41:30.883,9,PRECHECK,PRECHECK,77,3,1788252090844.636,99.898,timestamp_domain.system_time,20838515.000,94.000,1,20838515.000,20838531.000,16.000,16.000,20838531.000,16.000,0,0,,,,,,
2026-09-01T17:41:30.967,10,PRECHECK,PRECHECK,79,2,1788252090911.320,66.684,timestamp_domain.system_time,20838578.000,63.000,1,20838578.000,20838609.000,31.000,31.000,20838609.000,31.000,0,0,,,,,,
2026-09-01T17:41:31.053,11,PRECHECK,PRECHECK,82,3,1788252091011.702,100.382,timestamp_domain.system_time,20838671.000,93.000,1,20838671.000,20838687.000,16.000,16.000,20838687.000,16.000,0,0,,,,,,
2026-09-01T17:41:31.135,12,PRECHECK,PRECHECK,84,2,1788252091078.099,66.397,timestamp_domain.system_time,20838750.000,79.000,1,20838750.000,20838781.000,31.000,31.000,20838781.000,31.000,0,0,,,,,,
