recording,step,command,movement,command_direction,command_strength,command_timestamp_source,cmd_write_start_s,cmd_write_return_s,cmd_sync_done_s,stop_write_start_s,stop_write_return_s,stop_sync_done_s,command_time_s,stop_time_s,command_duration_s,frame_time_source,sensor_timestamp_domain,sensor_to_host_scale,sensor_alignment_rmse_ms,median_range_m,baseline_angle_deg,baseline_noise_deg,baseline_rate_deg_s,observed_angle_sign,last_still_frame_i,last_still_host_mono_s,last_still_analysis_time_s,last_still_sensor_timestamp_ms,first_motion_frame_i,motion_host_mono_s,motion_analysis_time_s,motion_sensor_timestamp_ms,motion_onset_estimate_analysis_time_s,onset_interval_low_s,onset_interval_high_s,dead_time_observed_s,dead_time_estimated_s,onset_threshold_deg,onset_still_threshold_deg,stop_observation_frame_i,stop_observation_host_mono_s,stop_observation_analysis_time_s,stop_observation_sensor_timestamp_ms,stop_rate_observed_deg_s,angle_at_stop_observation_deg,inertia_frame_i,inertia_host_mono_s,inertia_analysis_time_s,inertia_sensor_timestamp_ms,angle_at_inertia_horizon_deg,inertia_rotation_deg,observed_total_rotation_deg,accel_end_frame_i,accel_end_host_mono_s,accel_end_analysis_time_s,accel_end_sensor_timestamp_ms,accel_end_censored,drive_usable,inertia_usable,exclude_reasons,inertia_exclude_reasons
forklift_v4_recording_20260901_173507,1,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20475.718,20475.718,20475.812,20477.25,20477.25,20477.25,20475.718,20477.25,1.5319999999992433,camera_input_host_mono_ms,timestamp_domain.system_time,,,4.360601944909556,-2.8021,0.48273456000000015,0.46846353224400666,1.0,,,,,,,,,,,,,,1.9309382400000006,,,,,,,,,,,,,,,,,,,True,False,False,sustained motion onset not detected before STOP,motion onset unavailable
forklift_v4_recording_20260901_173507,6,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20611.687,20611.687,20611.781,20613.234,20613.234,20613.234,20611.687,20613.234,1.5469999999986612,camera_input_host_mono_ms,timestamp_domain.system_time,,,2.282657913545305,1.6052,0.8923769399999998,-2.350247705294602,-1.0,,,,,,,,,,,,,,3.569507759999999,,,,,,,,,,,,,,,,,,,True,False,False,vehicle was not stationary before command; sustained motion onset not detected before STOP,motion onset unavailable
forklift_v4_recording_20260901_173507,7,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20626.0,20626.0,20626.062,20627.968,20627.968,20627.968,20626.0,20627.968,1.9680000000007567,camera_input_host_mono_ms,timestamp_domain.system_time,,,2.2579934388787137,-5.02685,0.44974670999999866,0.23120196106522428,-1.0,1700,20627.625,20627.625,1788251879980.599,1701,20627.718,20627.718,1788251880080.379,20627.6715,1.625,1.7180000000007567,1.7180000000007567,1.6715000000003783,1.7989868399999946,0.8994934199999973,1703,20627.937,20627.937,1788251880280.57,21.51924381261849,4.761300404570458,1723,20630.015,20630.015,1788251882348.904,-5.810499999999999,-10.571800404570457,-5.810499999999999,,,,,True,False,False,too few command-held frames after onset,two-second total rotation is not above the baseline noise; post-STOP angle reverses beyond the noise band
forklift_v4_recording_20260901_173507,8,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20641.671,20641.671,20641.781,20643.843,20643.843,20643.843,20641.671,20643.843,2.172000000002299,camera_input_host_mono_ms,timestamp_domain.system_time,,,2.3874464811247718,1.2601499999999999,0.32365158000000005,0.41325110863732484,-1.0,1845,20642.156,20642.156,1788251894490.58,1846,20642.25,20642.25,1788251894590.676,20642.203,0.4850000000005821,0.5790000000015425,0.5790000000015425,0.5320000000028813,1.2946063200000002,0.6473031600000001,1861,20643.812,20643.812,1788251896158.588,-19.683102819241768,7.428246945044064,1881,20645.859,20645.859,1788251898193.204,3.6973000000000003,-3.7309469450440638,3.6973000000000003,,,,,True,False,False,observed rotation sign conflicts with the dominant LEFT sign,estimated pre-STOP rate is not positive; post-STOP angle reverses beyond the noise band; observed rotation sign conflicts with the dominant LEFT sign
forklift_v4_recording_20260901_173507,9,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20655.468,20655.468,20655.562,20657.468,20657.468,20657.468,20655.468,20657.468,2.0,camera_input_host_mono_ms,timestamp_domain.system_time,,,2.2420595024443486,-2.3190999999999997,0.17316768000000035,0.15463571248561567,-1.0,1988,20656.453,20656.453,1788251908767.327,1989,20656.546,20656.546,1788251908867.376,20656.499499999998,0.9850000000005821,1.0779999999977008,1.0779999999977008,1.0314999999973224,0.6926707200000014,0.3463353600000007,1998,20657.437,20657.437,1788251909801.308,1.1566155986907818,1.9688353032936983,2018,20659.484,20659.484,1788251911836.148,11.69175,9.722914696706303,11.69175,1990,20656.64,20656.64,1788251908967.684,False,True,True,,
forklift_v4_recording_20260901_173507,10,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,20667.5,20667.5,20667.593,20669.421,20669.421,20669.421,20667.5,20669.421,1.9209999999984575,camera_input_host_mono_ms,timestamp_domain.system_time,,,2.2397914280452547,-14.2054,0.13417529999999805,0.02025627790380217,1.0,2108,20668.562,20668.562,1788251920909.256,2109,20668.656,20668.656,1788251920976.172,20668.609,1.0620000000017171,1.1559999999990396,1.1559999999990396,1.1090000000003783,0.5367011999999922,0.2683505999999961,2116,20669.39,20669.39,1788251921743.092,17.892371820774834,8.506143646031592,2137,20671.468,20671.468,1788251923811.215,9.6761,1.1699563539684075,9.6761,2110,20668.765,20668.765,1788251921109.33,False,True,True,,
forklift_v4_recording_20260901_173507,11,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20691.859,20691.859,20691.937,20693.765,20693.765,20693.765,20691.859,20693.765,1.9059999999990396,camera_input_host_mono_ms,timestamp_domain.system_time,,,2.2358298344697434,-4.82125,0.3381810599999999,-0.3158242244438024,-1.0,2357,20693.437,20693.437,1788251945759.936,2358,20693.531,20693.531,1788251945860.081,20693.484,1.5780000000013388,1.6719999999986612,1.6719999999986612,1.625,1.3527242399999997,0.6763621199999998,2360,20693.734,20693.734,1788251946093.587,1.125308511805831,1.293185622394843,2380,20695.734,20695.734,1788251948061.475,5.94495,4.651764377605158,5.94495,,,,,True,False,False,too few command-held frames after onset,
forklift_v4_recording_20260901_174126,0,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20885.953,20885.953,20886.031,20887.203,20887.203,20887.203,20885.953,20887.203,1.25,camera_input_host_mono_ms,timestamp_domain.system_time,,,4.643968218127976,-9.032350000000001,0.43581026999999956,-1.573445666857016,-1.0,,,,,,,,,,,,,,1.7432410799999982,,,,,,,,,,,,,,,,,,,True,False,False,vehicle was not stationary before command; sustained motion onset not detected before STOP,motion onset unavailable
forklift_v4_recording_20260901_174126,0,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,20900.375,20900.375,20900.468,20900.468,20900.468,20900.468,20900.375,20900.468,0.0930000000007567,camera_input_host_mono_ms,timestamp_domain.system_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,command duration is too short; too few valid inference frames,too few valid inference frames
forklift_v4_recording_20260901_174342,6,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,21129.421,21129.421,21129.515,21131.25,21131.25,21131.25,21129.421,21131.25,1.8290000000015425,camera_input_host_mono_ms,timestamp_domain.system_time,,,2.01509391266437,-6.2055,0.29681651999999953,-0.021985225629518476,-1.0,1612,21130.921,21130.921,1788252383268.331,1613,21131.015,21131.015,1788252383368.531,21130.968,1.5,1.5940000000009604,1.5940000000009604,1.5470000000022992,1.1872660799999981,0.5936330399999991,1615,21131.234,21131.234,1788252383568.665,6.839307087262143,2.4385767599448513,1635,21133.218,21133.218,1788252385570.239,-16.79355,-19.23212675994485,-16.79355,,,,,True,False,False,too few command-held frames after onset,two-second total rotation is not above the baseline noise; post-STOP angle reverses beyond the noise band
forklift_v4_recording_20260901_174342,7,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,21145.25,21145.25,21145.343,21150.906,21150.906,21150.906,21145.25,21150.906,5.65599999999904,camera_input_host_mono_ms,timestamp_domain.system_time,,,1.9908085456760383,10.89015,1.3046879999999998,-3.1917188028752257,-1.0,1770,21146.593,21146.593,1788252398879.746,1771,21146.687,21146.687,1788252399046.122,21146.64,1.3430000000007567,1.4370000000017171,1.4370000000017171,1.389999999999418,5.218751999999999,2.6093759999999997,1814,21150.875,21150.875,1788252403216.03,-5.534455402865671,17.756349939437136,1834,21152.89,21152.89,1788252405217.169,16.3296,-1.426749939437137,16.3296,,,,,True,False,False,vehicle was not stationary before command,estimated pre-STOP rate is not positive
forklift_v4_recording_20260901_174342,8,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,21169.234,21169.234,21169.312,21170.75,21170.75,21170.75,21169.234,21170.75,1.5159999999996217,camera_input_host_mono_ms,timestamp_domain.system_time,,,1.9881579336320185,-5.00395,0.6610172099999995,-0.4561830383111033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,rotation direction cannot be inferred,rotation direction cannot be inferred
forklift_v4_recording_20260901_174925,5,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,21459.203,21459.203,21459.281,21460.687,21460.687,21460.687,21459.203,21460.687,1.4840000000003783,camera_input_host_mono_ms,timestamp_domain.system_time,,,1.5365618289567116,-3.4767,0.053077080000000075,-0.11288169691278777,1.0,1493,21460.265,21460.265,1788252712592.376,1494,21460.359,21460.359,1788252712725.527,21460.311999999998,1.0619999999980791,1.1559999999990396,1.1559999999990396,1.1089999999967404,0.2123083200000003,0.10615416000000015,1497,21460.671,21460.671,1788252713025.635,6.124778814504539,1.4140414106389567,1518,21462.734,21462.734,1788252715061.862,5.3323,3.9182585893610433,5.3323,,,,,True,False,False,too few command-held frames after onset,
forklift_v4_recording_20260901_175419,0,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,21616.281,21616.281,21616.359,21618.531,21618.531,21618.531,21616.281,21618.531,2.25,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0002725313490843,19.854747041875783,4.36962137508618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,fewer than four pre-command frames,baseline unavailable
forklift_v4_recording_20260901_175419,1,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,21624.765,21624.765,21624.843,21627.218,21627.218,21627.218,21624.765,21627.218,2.4530000000013388,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0002725313490843,19.854747041875783,4.368242941073088,15.8653,0.19258973999999623,0.05628671851469738,-1.0,,,,,,,,,,,,,,0.7703589599999849,,,,,,,,,,,,,,,,,,,True,False,False,sustained motion onset not detected before STOP,motion onset unavailable
forklift_v4_recording_20260903_190743,1,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,27199.421,27199.421,27199.484,27200.781,27200.781,27200.781,27199.421,27200.781,1.360000000000582,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000645470374154,18.370180775003213,3.110994033094986,-4.5805,0.4422595800000003,0.2976386437567571,1.0,,,,,,,,,,,,,,1.7690383200000013,,,,,,,,,,,,,,,,,,,True,False,False,sustained motion onset not detected before STOP,motion onset unavailable
forklift_v4_recording_20260903_190743,2,ROT_RIGHT,rotate_right_slow,RIGHT,30,can_tx,27204.875,27204.875,27204.937,27206.875,27206.875,27206.89,27204.875,27206.875,2.0,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000645470374154,18.370180775003213,3.0964859977071546,-6.1349,0.29978172000000186,0.20046338608001205,-1.0,116,27206.531,27206.531163195003,1788430072851.322,117,27206.593,27206.597911399607,1788430072918.066,27206.564537297305,1.6561631950025912,1.7229113996072556,1.7229113996072556,1.6895372973049234,1.1991268800000074,0.5995634400000037,120,27206.859,27206.86470278901,1788430073184.84,25.748531803362244,6.338008531790379,146,27208.843,27208.83298583351,1788430075152.996,9.2868,2.9487914682096203,9.2868,,,,,True,False,False,too few command-held frames after onset,
forklift_v4_recording_20260903_190743,3,ROT_LEFT,rotate_left_slow,LEFT,30,can_tx,27210.562,27210.562,27210.625,27211.343,27211.343,27211.343,27210.562,27211.343,0.7809999999990396,camera_sensor_timestamp_ms_affine_to_host_mono,timestamp_domain.system_time,1.0000645470374154,18.370180775003213,3.239280398962606,-15.2966,0.37628388,-0.8406817069245625,1.0,,,,,,,,,,,,,,1.50513552,,,,,,,,,,,,,,,,,,,True,False,False,sustained motion onset not detected before STOP,motion onset unavailable
