seg_id,tag,step,cmd,kind,sign,range_m,bearing_ref_deg,bearing_noise_deg,cmd_duration_s,startup_delay_s,onset_threshold_deg,angle_at_stop_deg,rate_at_stop_deg_s,rate_at_stop_linfit_deg_s,stall_gap_s,peak_rate_deg_s,move_time_before_stop_s,final_angle_deg,peak_angle_deg,coast_deg,overshoot_deg,settle_time_after_stop_s,log_stop_rate_deg_s,log_post_stop_deg,usable,exclude_reason
0,20260901_173507,1,ROT_LEFT,v4_face_rotate,-1.0,4.404292377624193,-9.192266178140724,0.1819396471830143,1.5319999999992433,1.3695822763656906,0.7277585887320572,1.5049509274883677,,2.905056455107341,0.0,18.125270252316614,0.16241772363355267,5.325569357324387,6.817269473570841,3.820618429836019,1.491700116246454,0.2809999999990396,9.68429740024476,4.405893585053946,True,
1,20260901_173507,6,ROT_RIGHT,v4_waypoint_rotate,1.0,2.2469288489410584,-2.098111878831129,0.2552903259439216,1.5469999999986612,1.4263838912083884,1.0211613037756864,0.8997482292117822,,2.9286604403996965,0.0,19.35069006433864,0.12061610879027285,6.270161150194723,6.55785196957389,5.370412920982941,0.28769081937916674,0.35900000000037835,-41.65071409884429,1.653933379697719,False,온셋이 STOP 이후(명령 유지시간 < 시동지연)
2,20260901_173507,7,ROT_RIGHT,v4_waypoint_rotate,1.0,2.339996341505308,-8.68892694989626,0.5004583485848778,1.9680000000007567,1.5384254765158403,2.0018333943395112,7.254862531162875,25.26070057178213,17.100763065359182,0.0,26.90516249039828,0.4295745234849164,11.165901102341966,12.666135551869484,3.911038571179091,1.5002344495275182,0.11000000000058208,-12.931691249033797,-10.274998947437382,True,
3,20260901_173507,8,ROT_LEFT,v4_recenter_rotate,-1.0,2.2357377413210306,-19.82456889526477,0.22037453213353292,2.1570000000028813,1.4147241884602408,0.8814981285341317,8.837150111037186,22.199425432820764,14.034093397215424,0.0,23.727230772551014,0.7422758115426404,12.988772491994759,13.687777133481553,4.151622380957573,0.6990046414867948,0.18699999999807915,20.79487743113837,7.505500448163218,True,
4,20260901_173507,9,ROT_RIGHT,v4_waypoint_rotate,1.0,2.218893423212634,-6.617735768908242,0.11679002100476567,2.0,1.2623764419695362,0.46716008401906267,4.323517606471205,11.517576328535851,6.803552165953168,0.21799999999711872,21.764373686239168,0.7376235580304638,9.305285952928438,10.895251491464242,4.981768346457233,1.5899655385358038,,-5.911118748662284,9.874845495295034,True,
5,20260901_173507,10,ROT_LEFT,v4_recenter_rotate,-1.0,2.2278707759376495,-15.434440156785827,0.24001357924924543,1.9209999999984575,1.6542103030078579,0.9600543169969817,4.060816345845931,17.826659382511053,15.169207547456647,0.0,18.985535028392704,0.2667896969905996,6.194413442516032,7.452143513122522,2.1335970966701003,1.25773007060649,0.1720000000022992,19.88376185655367,4.701698756699614,True,
6,20260901_173507,11,ROT_RIGHT,v4_waypoint_rotate,1.0,2.230045639707322,-8.92704017967735,0.3645770090181834,1.9059999999990396,1.5694506715226453,1.4583080360727336,4.029172752706552,14.77846904122167,7.834168384236784,0.0,21.82734960723619,0.3365493284763943,7.427187762493043,8.15580400826981,3.3980150097864907,0.7286162457767666,0.07800000000133878,-1.9168568805745454,4.715463082164263,True,
7,20260901_174342,6,ROT_RIGHT,v4_waypoint_rotate,1.0,2.0000087588453455,-7.939798860595723,0.1875119459016103,1.8290000000015425,1.3724277312212507,0.7500477836064412,4.032395226424911,13.713837258821835,9.125567455158361,0.09299999999711872,20.117725566976993,0.4565722687802918,7.419648175009477,8.597163975011032,3.3872529485845657,1.1775158000015553,1.6709999999984575,-3.146603517257144,-18.968405309639422,True,
8,20260901_174342,7,ROT_LEFT,v4_recenter_rotate,-1.0,1.9842699120998146,-15.204536414463195,0.24012446110586805,5.65599999999904,1.2527236471796641,0.9604978444234722,5.291813357135483,3.114769062187133,1.4037815603935215,1.4379999999982829,18.018726639331856,4.4032763528193755,9.636619770732937,11.185367419498078,4.344806413597453,1.5487476487651417,0.28100000000267755,10.361302719097823,7.120620621433744,False,명령 유지 중 회전 정체 1.4s
9,20260901_174342,8,ROT_RIGHT,v4_waypoint_rotate,1.0,1.9803777076473295,-5.584178573397609,0.13250831270889324,1.5159999999996217,1.1472526205652684,0.530033250835573,0.9282579157269174,6.497227809238457,1.6553069966762977,0.18799999999828287,10.196647166129791,0.3687473794343532,3.333786229954403,3.673438620373541,2.4055283142274857,0.339652390419138,0.2809999999990396,-2.8748648131194914,1.3395124714203916,True,
10,20260901_174925,5,ROT_LEFT,v4_final_rotate,-1.0,1.542253935025214,-4.552989515374051,0.0949360937822957,1.4840000000003783,1.1753454200188571,0.3797443751291828,1.5243435043490823,5.389941027685856,3.5785497612880213,0.0,14.049741714340138,0.30865457998152124,5.444999015079377,6.778492437707804,3.9206555107302945,1.3334934226284272,0.375,4.191580402956281,3.7565635317507144,True,
