epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,101.163,0.24762,0.18246,0.00859,0.1131,0.00333,0.29533,0.97417,0.99277,0.99449,0.95739,0.97417,0.99277,0.99449,0.99449,0.30477,0.06949,0.0018,0.22309,0.00245,0,0.000142857,0.000142857,0.0003
2,224.998,0.24224,0.15369,0.011,0.12771,0.00335,0.34104,0.99661,1,0.995,0.92884,0.99661,1,0.995,0.995,0.39398,0.06427,0.00168,0.21671,0.00296,0,0.000292451,0.000292451,0.000299594
3,292.485,0.25348,0.23981,0.01884,0.09945,0.00348,0.33609,0.99857,1,0.995,0.92479,0.99857,1,0.995,0.995,0.39436,0.13036,0.00159,0.11746,0.0031,0,0.000298338,0.000298338,0.000298338
4,358.576,0.33662,0.16524,0.00757,0.13333,0.00543,0.17602,0.99871,1,0.995,0.94603,0.99871,1,0.995,0.995,0.33791,0.1582,0.00158,0.10115,0.00279,0,0.00029627,0.00029627,0.00029627
5,432.599,0.31489,0.14961,0.00971,0.11447,0.00445,0.20768,0.99854,1,0.995,0.92779,0.99854,1,0.995,0.995,0.34488,0.06554,0.00173,0.1024,0.00325,0,0.000293393,0.000293393,0.000293393
6,509.669,0.33228,0.16571,0.01345,0.11397,0.00507,0.21768,0.9983,1,0.995,0.91086,0.9983,1,0.995,0.995,0.42307,0.20558,0.00176,0.12582,0.00344,0,0.000289724,0.000289724,0.000289724
7,602.934,0.26502,0.15307,0.00917,0.11483,0.00401,0.18957,0.99885,1,0.995,0.91434,0.99885,1,0.995,0.99113,0.42751,0.23224,0.00181,0.12875,0.00304,0,0.000285286,0.000285286,0.000285286
8,716.157,0.26912,0.14403,0.00891,0.10586,0.00398,0.19545,0.99819,1,0.995,0.92935,0.99819,1,0.995,0.995,0.37235,0.07946,0.00199,0.11544,0.00289,0,0.000280106,0.000280106,0.000280106
9,822.39,0.25043,0.15689,0.01365,0.0958,0.00358,0.1739,0.99862,1,0.995,0.89975,0.99862,1,0.995,0.995,0.45028,0.11383,0.00219,0.12783,0.00307,0,0.000274217,0.000274217,0.000274217
10,895.934,0.25885,0.09882,0.01989,0.09013,0.00386,0.05389,0.99824,1,0.995,0.89279,0.99824,1,0.995,0.97062,0.50687,0.23139,0.00218,0.14608,0.00334,0,0.000267655,0.000267655,0.000267655
11,961.722,0.30111,0.15799,0.01594,0.10541,0.00504,0.13397,0.99824,1,0.995,0.90357,0.99824,1,0.995,0.995,0.50285,0.15081,0.00226,0.14509,0.00375,0,0.000260459,0.000260459,0.000260459
12,1029.73,0.40998,0.15288,0.01945,0.13818,0.00805,0.22747,1,0.99822,0.995,0.9023,1,0.99822,0.995,0.995,0.48827,0.08443,0.0023,0.15025,0.00397,0,0.000252675,0.000252675,0.000252675
13,1099.15,0.3706,0.22763,0.02074,0.12445,0.00701,0.25759,0.99863,1,0.995,0.9056,0.99863,1,0.995,0.995,0.45927,0.10636,0.00236,0.12878,0.00379,0,0.000244351,0.000244351,0.000244351
