epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,133.78,0.25279,3.5793,0.02192,0.11453,0.00338,6.94133,1,0.99756,0.995,0.91914,1,0.99756,0.995,0.995,0.41069,5.7586,0.00584,0.15281,0.0035,0,0.000142857,0.000142857,0.0003
2,230.378,0.30795,2.12444,0.04082,0.12002,0.00399,4.19426,0.99795,1,0.995,0.86591,0.99795,1,0.995,0.84101,0.61917,5.7577,0.08096,0.18319,0.00511,0,0.000292451,0.000292451,0.000299594
3,293.852,0.30289,0.77625,0.0395,0.10627,0.00379,1.28041,0.99928,1,0.995,0.83449,0.92017,0.92105,0.91868,0.55938,0.73031,3.06142,0.11193,0.1895,0.00508,0,0.000298338,0.000298338,0.000298338
4,361.817,0.30515,0.19128,0.01385,0.11149,0.00421,0.22596,0.9986,1,0.995,0.89499,0.9986,1,0.995,0.90895,0.53555,0.31057,0.00712,0.1415,0.0038,0,0.00029627,0.00029627,0.00029627
5,434.345,0.27918,0.10178,0.01235,0.10594,0.00396,0.11034,0.99867,1,0.995,0.88827,0.99867,1,0.995,0.97405,0.5636,0.20626,0.00384,0.15615,0.00446,0,0.000293393,0.000293393,0.000293393
6,518.257,0.27801,0.06616,0.01699,0.10174,0.00405,0.03729,0.99859,1,0.995,0.90746,0.99859,1,0.995,0.98516,0.46138,0.14893,0.00426,0.13212,0.00365,0,0.000289724,0.000289724,0.000289724
7,617.15,0.30839,0.06624,0.01637,0.13013,0.00481,0.0341,0.99859,1,0.995,0.91303,0.99859,1,0.995,0.98556,0.42689,0.14304,0.00449,0.12379,0.00334,0,0.000285286,0.000285286,0.000285286
8,731.713,0.25951,0.05165,0.01532,0.11487,0.00332,0.00917,1,0.99842,0.995,0.90633,1,0.99842,0.995,0.98637,0.45871,0.13592,0.00497,0.15454,0.00372,0,0.000280106,0.000280106,0.000280106
9,828.442,0.24606,0.06632,0.01713,0.08558,0.00337,0.0944,0.99894,1,0.995,0.91302,0.99894,1,0.995,0.98647,0.44858,0.12741,0.00541,0.13782,0.0037,0,0.000274217,0.000274217,0.000274217
10,892.447,0.24422,0.05018,0.02328,0.09966,0.00309,0.05913,0.99894,1,0.995,0.93696,0.99894,1,0.995,0.995,0.39112,0.09119,0.00551,0.12196,0.00337,0,0.000267655,0.000267655,0.000267655
11,958.694,0.24376,0.04835,0.01676,0.09046,0.00328,0.00179,1,0.95764,0.99449,0.95602,1,0.95764,0.99449,0.99449,0.31831,0.07316,0.00529,0.13927,0.00314,0,0.000260459,0.000260459,0.000260459
12,1026.69,0.27267,0.04974,0.01643,0.10688,0.00378,0.01206,0.9959,1,0.995,0.94823,0.9959,1,0.995,0.995,0.34287,0.06339,0.00517,0.12561,0.00353,0,0.000252675,0.000252675,0.000252675
13,1093.31,0.25478,0.05216,0.01989,0.09044,0.00358,0.03338,0.99861,1,0.995,0.96075,0.99861,1,0.995,0.995,0.29913,0.04539,0.00519,0.09323,0.00224,0,0.000244351,0.000244351,0.000244351
14,1143.81,0.23414,0.04733,0.01618,0.08811,0.00321,0.01651,0.99108,1,0.995,0.96571,0.99108,1,0.995,0.995,0.28922,0.06951,0.00514,0.12402,0.00264,0,0.000235537,0.000235537,0.000235537
15,1198.23,0.20139,0.04732,0.0195,0.08307,0.00256,0.03135,0.99767,1,0.995,0.94838,0.99767,1,0.995,0.995,0.3232,0.12572,0.00505,0.10767,0.00281,0,0.000226289,0.000226289,0.000226289
16,1256.09,0.22496,0.05496,0.01068,0.08149,0.0029,0.01555,1,0.99726,0.995,0.96342,1,0.99726,0.995,0.99182,0.30097,0.12116,0.00472,0.10237,0.00265,0,0.000216662,0.000216662,0.000216662
17,1314.6,0.21846,0.04102,0.01479,0.08052,0.003,0.00665,0.99866,1,0.995,0.95767,0.99866,1,0.995,0.995,0.28968,0.06479,0.00442,0.08898,0.00253,0,0.000206717,0.000206717,0.000206717
18,1376.24,0.20581,0.04229,0.00739,0.08815,0.00272,0,0.99915,1,0.995,0.95751,0.99915,1,0.995,0.995,0.31117,0.05582,0.00426,0.09837,0.00272,0,0.000196515,0.000196515,0.000196515
19,1433.12,0.20738,0.04627,0.0141,0.08759,0.0025,0,0.99867,1,0.995,0.94732,0.99867,1,0.995,0.995,0.34117,0.05683,0.00404,0.10012,0.00266,0,0.000186119,0.000186119,0.000186119
20,1476.87,0.19478,0.04053,0.01035,0.07846,0.00231,0.00784,0.99864,1,0.995,0.95122,0.99864,1,0.995,0.995,0.30137,0.06055,0.00403,0.09083,0.00244,0,0.000175592,0.000175592,0.000175592
21,1519.92,0.19632,0.03753,0.01036,0.08485,0.00227,0.01122,1,0.9976,0.995,0.95963,1,0.9976,0.995,0.995,0.30406,0.06196,0.00388,0.10787,0.00291,0,0.000165,0.000165,0.000165
22,1565.27,0.21124,0.03669,0.01284,0.08998,0.00246,0.00979,0.99952,1,0.995,0.96891,0.99952,1,0.995,0.995,0.29797,0.0642,0.00383,0.10887,0.00292,0,0.000154408,0.000154408,0.000154408
23,1609.81,0.20026,0.03383,0.01243,0.08723,0.00244,0,1,0.99956,0.995,0.95513,1,0.99956,0.995,0.995,0.3004,0.06099,0.00382,0.10195,0.00269,0,0.000143881,0.000143881,0.000143881
24,1654.02,0.18978,0.03402,0.01555,0.0825,0.00215,0,0.99437,1,0.995,0.96144,0.99437,1,0.995,0.995,0.28515,0.05308,0.00367,0.10728,0.0026,0,0.000133485,0.000133485,0.000133485
25,1698.5,0.187,0.02675,0.01298,0.07846,0.00249,0,0.9985,1,0.995,0.9779,0.9985,1,0.995,0.995,0.26714,0.05612,0.00363,0.08328,0.00249,0,0.000123283,0.000123283,0.000123283
26,1744.8,0.18275,0.02709,0.00715,0.06969,0.00234,0.00528,0.99855,1,0.995,0.97829,0.99855,1,0.995,0.995,0.26501,0.06285,0.00353,0.08271,0.00246,0,0.000113338,0.000113338,0.000113338
27,1799.25,0.16821,0.0261,0.00833,0.08424,0.00197,0.00933,0.99861,1,0.995,0.97307,0.99861,1,0.995,0.995,0.28144,0.06532,0.0034,0.08758,0.00253,0,0.000103711,0.000103711,0.000103711
28,1855.41,0.18315,0.02383,0.00674,0.08563,0.0022,0,0.99861,1,0.995,0.97307,0.99861,1,0.995,0.995,0.27937,0.06048,0.00331,0.08701,0.00251,0,9.44627e-05,9.44627e-05,9.44627e-05
29,1914.58,0.16431,0.02115,0.00854,0.07315,0.00198,0.00425,0.99856,1,0.995,0.97385,0.99856,1,0.995,0.995,0.2705,0.05153,0.00314,0.0844,0.00259,0,8.5649e-05,8.5649e-05,8.5649e-05
30,1972.7,0.17182,0.02101,0.00686,0.06774,0.00201,0.00579,0.99855,1,0.995,0.97367,0.99855,1,0.995,0.995,0.28287,0.04842,0.00302,0.0876,0.00283,0,7.73245e-05,7.73245e-05,7.73245e-05
31,2032.85,0.17188,0.0253,0.00471,0.07279,0.00201,0,0.99858,1,0.995,0.97364,0.99858,1,0.995,0.995,0.28799,0.04926,0.00291,0.08841,0.00289,0,6.95406e-05,6.95406e-05,6.95406e-05
32,2086.36,0.16458,0.02209,0.01678,0.06822,0.00198,0,0.99859,1,0.995,0.96237,0.99859,1,0.995,0.995,0.28932,0.05226,0.00284,0.08848,0.00276,0,6.23452e-05,6.23452e-05,6.23452e-05
33,2129.7,0.16671,0.02037,0.00639,0.06712,0.00187,0,0.9986,1,0.995,0.95849,0.9986,1,0.995,0.995,0.2761,0.05709,0.00278,0.08478,0.00241,0,5.57827e-05,5.57827e-05,5.57827e-05
34,2174.87,0.17414,0.02187,0.00716,0.07408,0.00203,0,0.9986,1,0.995,0.97471,0.9986,1,0.995,0.995,0.26743,0.05985,0.00276,0.08242,0.00226,0,4.98936e-05,4.98936e-05,4.98936e-05
35,2221.07,0.17252,0.02241,0.01133,0.07,0.00216,0,0.99858,1,0.995,0.97475,0.99858,1,0.995,0.995,0.25546,0.05765,0.0027,0.07981,0.00215,0,4.47141e-05,4.47141e-05,4.47141e-05
36,2266.77,0.17015,0.02108,0.00862,0.06611,0.00214,0.00317,0.99856,1,0.995,0.97475,0.99856,1,0.995,0.995,0.25156,0.05378,0.00271,0.07993,0.00215,0,4.02763e-05,4.02763e-05,4.02763e-05
37,2319.95,0.16821,0.0203,0.00596,0.06919,0.00206,0,0.99853,1,0.995,0.97317,0.99853,1,0.995,0.995,0.25557,0.04625,0.00271,0.08228,0.00224,0,3.66074e-05,3.66074e-05,3.66074e-05
38,2368.18,0.15807,0.02011,0.00384,0.08574,0.00191,0,0.9985,1,0.995,0.97356,0.9985,1,0.995,0.995,0.26697,0.04457,0.00266,0.08722,0.00241,0,3.37301e-05,3.37301e-05,3.37301e-05
